,EC_number,Compound,Organism_inh,UniqueOrganisms_Ki,Organism_act,UniqueOrganisms_Act
0,1.1.1.1,4-Hydroxy-3-methoxy-benzaldehyde,1.0,Mus musculus,0.0,0
1,1.1.1.1,Androstenedione,1.0,Homo sapiens,0.0,0
2,1.1.1.1,Caffeate,1.0,Mus musculus,0.0,0
3,1.1.1.1,Dihydrotestosterone,3.0,Homo sapiens,0.0,0
4,1.1.1.1,Ellagic acid,1.0,Mus musculus,0.0,0
5,1.1.1.1,Ethanol,3.0,Homo sapiens,0.0,0
6,1.1.1.1,Fomepizole,5.0,"Escherichia coli,Klebsiella oxytoca,Klebsiella pneumoniae,Pseudomonas aeruginosa,Sulfolobus solfataricus",0.0,0
7,1.1.1.1,Octanoic acid,2.0,Mus musculus,0.0,0
8,1.1.1.100,3-Hydroxybutanoyl-CoA,1.0,Plasmodium falciparum,0.0,0
9,1.1.1.103,Pyruvate,2.0,Cytophaga sp.,0.0,0
10,1.1.1.117,NADPH,1.0,Candida albicans,0.0,0
11,1.1.1.118,NADPH,1.0,Sulfolobus solfataricus,0.0,0
12,1.1.1.121,"1,10-Phenanthroline",1.0,Thermus thermophilus HB8,0.0,0
13,1.1.1.121,Benzofuran,1.0,Thermus thermophilus HB8,0.0,0
14,1.1.1.121,Hexestrol,1.0,Thermus thermophilus HB8,0.0,0
15,1.1.1.121,Indole,1.0,Thermus thermophilus HB8,0.0,0
16,1.1.1.132,GMP,1.0,Pseudomonas aeruginosa,0.0,0
17,1.1.1.138,Mannitol,2.0,Candida magnoliae,0.0,0
18,1.1.1.14,"3,4-Dihydroxymandelate",1.0,Ovis aries,0.0,0
19,1.1.1.14,Berberine,1.0,Ovis aries,0.0,0
20,1.1.1.14,Dimercaprol,1.0,Ovis aries,0.0,0
21,1.1.1.14,Disulfiram,1.0,Ovis aries,0.0,0
22,1.1.1.14,NADH,1.0,Gallus gallus,0.0,0
23,1.1.1.14,Quercetin,1.0,Ovis aries,0.0,0
24,1.1.1.14,Thiocyanate,1.0,Ovis aries,0.0,0
25,1.1.1.14,Valproic acid,1.0,Ovis aries,0.0,0
26,1.1.1.141,Alprostadil,1.0,Homo sapiens,0.0,0
27,1.1.1.141,Indomethacin,1.0,Bos taurus,0.0,0
28,1.1.1.141,NADH,2.0,"Homo sapiens,Sus scrofa",0.0,0
29,1.1.1.141,Papaverine,7.0,"Canis lupus familiaris,Cavia porcellus,Gallus gallus,Rattus norvegicus,Sus scrofa",0.0,0
30,1.1.1.141,Prostaglandin E2,1.0,Homo sapiens,0.0,0
31,1.1.1.141,Prostaglandin F2alpha,1.0,Homo sapiens,0.0,0
32,1.1.1.145,6-Hydroxyflavone,1.0,Homo sapiens,0.0,0
33,1.1.1.145,Genistein,1.0,Homo sapiens,0.0,0
34,1.1.1.145,NADH,1.0,Mycobacterium tuberculosis,0.0,0
35,1.1.1.146,Fenofibrate,1.0,Mus musculus,0.0,0
36,1.1.1.146,Glycyrrhetinate,5.0,Homo sapiens,0.0,0
37,1.1.1.149,ADP,1.0,Rattus norvegicus,0.0,0
38,1.1.1.149,AMP,1.0,Rattus norvegicus,0.0,0
39,1.1.1.149,Adenosine 2'-phosphate,1.0,Rattus norvegicus,0.0,0
40,1.1.1.149,Aspirin,1.0,Homo sapiens,0.0,0
41,1.1.1.149,Salicylate,1.0,Homo sapiens,0.0,0
42,1.1.1.153,Indomethacin,1.0,Homo sapiens,0.0,0
43,1.1.1.153,Melatonin,2.0,Rattus norvegicus,0.0,0
44,1.1.1.153,N-Acetylserotonin,3.0,"Homo sapiens,Rattus norvegicus",0.0,0
45,1.1.1.153,Serotonin,2.0,Rattus norvegicus,0.0,0
46,1.1.1.153,p-Benzoquinone,1.0,Homo sapiens,0.0,0
47,1.1.1.169,ADP,1.0,Escherichia coli,0.0,0
48,1.1.1.169,AMP,1.0,Escherichia coli,0.0,0
49,1.1.1.169,ATP,1.0,Escherichia coli,0.0,0
50,1.1.1.169,Orthophosphate,1.0,Escherichia coli,0.0,0
51,1.1.1.17,"1,10-Phenanthroline",1.0,Escherichia coli,0.0,0
52,1.1.1.17,ADP,2.0,"Brochothrix thermosphacta,Streptococcus mutans",0.0,0
53,1.1.1.17,ATP,2.0,"Brochothrix thermosphacta,Streptococcus mutans",0.0,0
54,1.1.1.17,D-Fructose 6-phosphate,1.0,Streptococcus mutans,0.0,0
55,1.1.1.17,NADH,1.0,Aspergillus fumigatus,0.0,0
56,1.1.1.177,D-Glyceraldehyde 3-phosphate,1.0,Archaeoglobus fulgidus,0.0,0
57,1.1.1.177,sn-Glycerol 3-phosphate,1.0,Archaeoglobus fulgidus,0.0,0
58,1.1.1.184,Biochanin A,1.0,Homo sapiens,0.0,0
59,1.1.1.184,Chrysin,1.0,Homo sapiens,0.0,0
60,1.1.1.184,Naringenin,1.0,Homo sapiens,0.0,0
61,1.1.1.184,Triclosan,1.0,Homo sapiens,0.0,0
62,1.1.1.184,Wedelolactone,1.0,Homo sapiens,0.0,0
63,1.1.1.187,GDP-mannose,1.0,Pseudomonas sp.,0.0,0
64,1.1.1.188,"9,10-Phenanthroquinone",1.0,Bos taurus,0.0,0
65,1.1.1.188,Copper sulfate,1.0,Bos taurus,0.0,0
66,1.1.1.188,Mefenamic acid,1.0,Homo sapiens,0.0,0
67,1.1.1.188,Mercuric chloride,1.0,Bos taurus,0.0,0
68,1.1.1.188,Tolrestat,2.0,"Homo sapiens,Mus musculus",0.0,0
69,1.1.1.189,Indomethacin,1.0,Homo sapiens,0.0,0
70,1.1.1.189,Progesterone,1.0,Homo sapiens,0.0,0
71,1.1.1.189,Prostaglandin E2,1.0,Oryctolagus cuniculus,0.0,0
72,1.1.1.200,Orthophosphate,1.0,Malus domestica,0.0,0
73,1.1.1.202,Glycerol,1.0,Klebsiella pneumoniae,3.0,"Escherichia coli,Klebsiella pneumoniae"
74,1.1.1.205,6-Thioinosine-5'-monophosphate,1.0,Enterobacter aerogenes,0.0,0
