,Inhibition,Activation,Total
Dendrobaena veneta,4,0,4
Amaranthus hypochondriacus,10,3,13
Ochrosia elliptica,1,0,1
Angiostrongylus cantonensis,8,1,9
Methanococcus voltae,10,4,14
Moritella viscosa,2,0,2
Foeniculum vulgare,6,0,6
Bryopsis corticulans,2,0,2
Thermobacillus xylanilyticus,4,1,5
Sporothrix schenckii,14,0,14
Clostridium propionicum,13,1,14
Proteus vulgaris,66,9,75
Pectobacterium atrosepticum,1,0,1
Helicobacter acinonychis,3,0,3
Ceramium rubrum,0,1,1
Halorubrum xinjiangense,7,13,20
Streptomyces massasporeus,1,0,1
Macrobrachium olfersii,11,0,11
Megascolides cameroni,4,0,4
Renilla reniformis,39,2,41
Apostichopus japonicus,22,2,24
Triticum turgidum,4,0,4
Elymus repens,4,0,4
Diploptera punctata,6,0,6
Erythrina variegata,6,1,7
Salix discolor,4,1,5
Marinobacter hydrocarbonoclasticus,1,0,1
Pleuronichthys verticalis,5,0,5
Centella asiatica,2,0,2
Hafnia alvei,15,20,35
Serratula tinctoria,1,0,1
Vigna mungo,44,14,58
Kocuria varians,8,0,8
Erythrobacter litoralis,0,1,1
Trifolium pratense,0,8,8
Vibrio rumoiensis,3,0,3
Halopiger aswanensis,1,0,1
Cucumis melo,33,3,36
Trimeresurus gramineus,1,0,1
Rumex dentatus,1,0,1
Lampetra fluviatilis,3,0,3
Vibrio cholerae,201,15,216
Hemiselmis virescens,8,0,8
Ricinus communis,225,40,265
Moritella abyssi,2,0,2
Salinibacter ruber,2,8,10
Bacillus tequilensis,10,4,14
Methylibium petroleiphilum,0,1,1
Tabernaemontana divaricata,3,1,4
Chlorocebus aethiops,127,14,141
Marinococcus halophilus,0,1,1
Streptomyces griseorubiginosus,25,0,25
Sulfolobus acidocaldarius,148,32,180
Scyllarides latus,3,2,5
Burkholderia glumae,2,2,4
Secale cereale,72,15,87
Chlorogonium elongatum,7,0,7
Blastochloris viridis,3,1,4
Methylococcus capsulatus,64,12,76
Corynebacterium jeikeium,5,0,5
Didelphis virginiana,0,1,1
Castilleja indivisa,3,0,3
Actinidia chinensis,17,1,18
Crotalus atrox,60,2,62
Laceyella putida,4,5,9
Ruegeria pomeroyi,19,0,19
Fagopyrum esculentum,22,1,23
Dunaliella tertiolecta,5,1,6
Bacillus azotoformans,2,1,3
Streptomyces olivochromogenes,7,7,14
Pectobacterium wasabiae,17,1,18
Nicotiana attenuata,5,1,6
Oceanimonas doudoroffii,17,3,20
Pseudoalteromonas tunicata,9,0,9
Amaranthus tuberculatus,3,0,3
Xanthosoma sagittifolium,4,2,6
Theobroma cacao,4,0,4
Trachemys scripta,10,3,13
Macrobrachium borellii,2,1,3
Eleginus gracilis,3,0,3
Suaeda maritima,1,0,1
Lethenteron camtschaticum,1,4,5
Solanum pimpinellifolium,0,1,1
Lactobacillus paraplantarum,6,0,6
Watasenia scintillans,1,0,1
Mycobacterium leprae,20,4,24
Virgibacillus salexigens,0,1,1
Stigmatella aurantiaca,4,1,5
Bubo scandiacus,1,0,1
Chlorella pyrenoidosa,21,22,43
Oncorhynchus nerka,6,0,6
Celosia crista,3,3,6
Picea sitchensis,2,1,3
Suberites domuncula,2,0,2
Haemophilus ducreyi,9,0,9
Streptococcus cristatus,2,0,2
Ralstonia solanacearum,2,1,3
Vibrio furnissii,9,0,9
Echinochloa colona,1,0,1
Streptomyces griseus,185,9,194
Furcellaria fastigiata,0,1,1
Actinoplanes philippinensis,0,1,1
Clostridium paraputrificum,15,1,16
Solanum tuberosum,430,118,548
Ucides cordatus,1,0,1
Arthrobacter viscosus,11,17,28
Channa striata,2,0,2
Basidiomycota,12,1,13
Leptotrichia buccalis,3,0,3
Citrus jambhiri,5,1,6
Tenebrio molitor,70,4,74
Equus asinus,12,8,20
Vigna aconitifolia,26,3,29
Rhodocyclus purpureus,2,3,5
Mesonia algae,0,2,2
Schistocerca nitens,2,0,2
Aeropyrum camini,1,0,1
Vibrio natriegens,16,0,16
Clostridium oroticum,28,10,38
Saimiri sciureus,8,0,8
Ochromonas malhamensis,4,4,8
Pocillopora damicornis,1,2,3
Rhodomicrobium vannielii,7,17,24
Pseudopterogorgia elisabethae,2,0,2
Microbacterium oxydans,2,0,2
Landoltia punctata,6,1,7
Empedobacter brevis,2,0,2
Electrophorus electricus,495,6,501
Prevotella melaninogenica,1,0,1
Cystoclonium purpureum,0,1,1
Populus x canadensis,11,6,17
Natrialba magadii,4,0,4
Schlegelella thermodepolymerans,15,0,15
Candida albicans,736,67,803
Potamopyrgus antipodarum,4,0,4
Streptomyces tubercidicus,13,0,13
Ailanthus altissima,1,0,1
Macropus eugenii,2,4,6
Shigella dysenteriae,25,19,44
Leptospira interrogans,26,0,26
Variovorax paradoxus,6,0,6
Escherichia coli,8305,1058,9363
Wedelia biflora,21,0,21
Pythium debaryanum,0,1,1
Heimia salicifolia,4,0,4
Teredinibacter turnerae,1,0,1
Opuntia ficus-indica,1,0,1
Papilio machaon,4,1,5
Sea urchin,4,0,4
Nilaparvata lugens,0,2,2
Serratia marcescens,244,55,299
Sphingosinicella xenopeptidilytica,1,1,2
Streptomyces chromofuscus,14,7,21
Afipia felis,0,1,1
Crotalus ruber ruber,7,0,7
Festuca rubra,2,0,2
Streptomyces azureus,4,0,4
Lathyrus odoratus,14,0,14
Pseudoalteromonas haloplanktis,25,2,27
Populus deltoides,0,3,3
Populus trichocarpa,12,2,14
Hypericum perforatum,1,0,1
Paracoccus versutus,4,0,4
Lens culinaris,44,1,45
Momordica charantia,9,0,9
Heliobacterium chlorum,2,0,2
Anastrepha fraterculus,0,2,2
Streptomyces thermocarboxydus,8,3,11
Tanacetum vulgare,2,0,2
Dysdercus peruvianus,3,0,3
Chlorobaculum tepidum,8,0,8
Acyrthosiphon pisum,3,0,3
Naja haje,1,0,1
Hyphomicrobium sulfonivorans,5,1,6
Oryzaephilus surinamensis,2,0,2
Datura inoxia,7,0,7
Shewanella sediminis,0,1,1
Treponema pallidum,5,0,5
Ureibacillus thermosphaericus,10,0,10
Methanocalculus chunghsingensis,0,1,1
Cyperus rotundus,0,1,1
Pyrobaculum islandicum,7,7,14
Mastigocoleus testarum,2,0,2
Trigonella foenum-graecum,11,4,15
Lithospermum erythrorhizon,21,5,26
Hippoglossus stenolepis,1,0,1
Sulfolobus tokodaii,124,17,141
Mesocricetus auratus,304,52,356
Haemophilus parainfluenzae,2,0,2
Oscillatoria limnetica,5,0,5
Polysiphonia nigrescens,0,1,1
Salmo salar,31,9,40
Callosobruchus maculatus,9,1,10
Ovis aries,665,102,767
Quercus rubra,2,0,2
Desulfurococcus kamchatkensis,3,0,3
Clostridium sporosphaeroides,0,1,1
Micromonospora echinospora,2,0,2
Lactobacillus rhamnosus,4,1,5
Streptomyces globisporus,11,0,11
Hydrogenophaga palleronii,2,0,2
Glycyrrhiza echinata,5,4,9
Pueraria montana var. lobata,17,0,17
Brevicoryne brassicae,5,1,6
Phaeospirillum fulvum,0,1,1
Neisseria canis,1,0,1
Clostridium papyrosolvens,12,0,12
Neptuniibacter caesariensis,1,0,1
Sporosarcina ureae,11,0,11
Achromobacter denitrificans,17,0,17
Diabrotica virgifera virgifera,1,0,1
Ureaplasma urealyticum,6,0,6
Prevotella buccae,1,0,1
Phaseolus lunatus,4,0,4
Psychrobacter immobilis,1,0,1
Methylophaga aminisulfidivorans,2,0,2
Oncorhynchus kisutch,11,0,11
Aerococcus viridans,14,3,17
Thermotoga hypogea,7,0,7
Bacillus amyloliquefaciens,89,14,103
Elysia chlorotica,1,0,1
Methanobrevibacter smithii,1,0,1
Haloferax lucentense,10,0,10
Mycobacterium goodii,3,0,3
Mycobacterium phlei,83,13,96
Methanohalophilus portucalensis,6,1,7
Clostridium acetobutylicum,82,11,93
Eucalyptus gunnii,2,0,2
Potamotrygon motoro,4,0,4
Camellia sinensis,76,5,81
Nicotiana plumbaginifolia,3,0,3
Digitalis purpurea,1,3,4
Platichthys flesus,7,0,7
Phytophthora infestans,4,1,5
Populus alba,2,1,3
Streptococcus thermophilus,35,7,42
Suaeda linifolia,1,0,1
Bothrops pirajai,4,0,4
Rubus plicatus,5,0,5
Prunus dulcis,52,4,56
Vulcanithermus mediatlanticus,4,0,4
Synanceia verrucosa,0,1,1
Sanguinaria canadensis,16,0,16
Gloydius halys,3,0,3
Farfantepenaeus californiensis,1,0,1
Helix pomatia,47,2,49
Bromus inermis,0,5,5
Prunus padus,12,2,14
Bacillus methanolicus,18,6,24
Cetacea,1,0,1
Heliothis virescens,16,4,20
Brassica rapa,7,3,10
Haloarcula marismortui,17,2,19
Borrelia burgdorferi,47,0,47
Pinus banksiana,5,0,5
Thermotoga thermarum,12,2,14
Leuconostoc pseudomesenteroides,3,0,3
Ipomoea hederacea,1,0,1
Cosmopolites sordidus,7,0,7
Mugil cephalus,1,1,2
Anoxybacillus flavithermus,8,1,9
Streptomyces cinnamoneus,8,1,9
Streptomyces psammoticus,12,0,12
Propionibacterium acnes,6,0,6
Methanosarcina mazei,17,6,23
Desulfomicrobium norvegicum,2,0,2
Comamonas testosteroni,167,16,183
Corynebacterium ulcerans,2,0,2
Vigna radiata var. radiata,201,42,243
Eubacterium oxidoreducens,10,0,10
Rothia dentocariosa,1,1,2
Desulfovibrio gigas,31,1,32
Littorina littorea,42,3,45
Daphnia magna,6,0,6
Burkholderia dolosa,4,0,4
Serpens flexibilis,3,0,3
Ficus benjamina,0,1,1
Necator americanus,1,0,1
Methanobacterium ivanovii,1,0,1
Thermithiobacillus tepidarius,1,1,2
Cichla ocellaris,15,0,15
Halorhodospira halochloris,10,3,13
Burkholderia caryophylli,5,1,6
Sus scrofa,4515,437,4952
Spirillospora albida,0,1,1
Candida mycoderma,15,2,17
Vespula maculifrons,2,0,2
Bombyx mori,127,14,141
Hippoglossus hippoglossus,1,1,2
Micromonospora viridifaciens,2,0,2
Astragalus racemosus,5,0,5
Sophora flavescens,7,0,7
Dactylis glomerata,2,0,2
Thermoleophilum minutum,1,0,1
Fasciola hepatica,89,16,105
Mytilus galloprovincialis,20,9,29
Thermodesulfobacterium thermophilum,1,0,1
Ctenopharyngodon idella,2,0,2
Flavobacterium saccharophilum,17,0,17
Cryptopygus antarcticus,3,0,3
Heliotropium angiospermum,1,0,1
Yersinia frederiksenii,4,0,4
Pseudomonas oryzihabitans,0,1,1
Eleutherococcus senticosus,1,0,1
Desulfovibrio alaskensis,0,1,1
Caloramator fervidus,5,1,6
Eutrema japonicum,9,4,13
Streptococcus sobrinus,3,1,4
Nicotiana langsdorffii,0,1,1
Anabaena cylindrica,12,3,15
Gadus chalcogrammus,16,2,18
Shewanella amazonensis,9,0,9
Sporosarcina pasteurii,74,2,76
Clostridium cellulovorans,3,2,5
Lupinus arboreus,12,0,12
Lytechinus pictus,11,2,13
Tetraselmis maculata,10,0,10
Entamoeba invadens,2,1,3
Cichorium endivia,11,2,13
Gecarcinus lateralis,0,1,1
Eupatorium cannabinum,5,0,5
Enterococcus faecalis,584,42,626
Piaractus mesopotamicus,0,1,1
Katsuwonus pelamis,12,0,12
Duboisia leichhardtii,0,4,4
Pseudopleuronectes yokohamae,5,0,5
Necturus maculosus,4,0,4
Meriones unguiculatus,23,5,28
Phleum pratense,2,0,2
Lactococcus raffinolactis,0,1,1
Sesamum indicum,8,3,11
Cephaloleia presignis,7,1,8
Streptomyces corchorusii,4,0,4
Lasallia pustulata,2,0,2
Shewanella oneidensis,10,3,13
Boops boops,9,0,9
Paracoccus pantotrophus,18,7,25
Carapichea ipecacuanha,28,0,28
Vaucheria litorea,0,1,1
Clostridium bifermentans,1,0,1
Forsythia ovata,1,0,1
Dioscorea rotundata,14,1,15
Asclepias curassavica,22,0,22
Acidovorax avenae,2,1,3
Rhodopila globiformis,0,1,1
Bruguiera sexangula,2,2,4
Setaria italica,0,1,1
Streptomyces albulus,6,0,6
Hypoderma lineatum,1,0,1
Bombus terrestris,3,3,6
Bothrops jararaca,26,0,26
Velesunio ambiguus,3,0,3
Pouteria sapota,7,3,10
Annona cherimola,2,0,2
Mycoplasma arthritidis,14,1,15
Kluyvera cryocrescens,6,1,7
Clostridium novyi,1,0,1
Mallomonas caudata,1,0,1
Streptomyces nitrosporeus,1,0,1
Nepenthes ampullaria,2,0,2
Bacillus clausii,12,2,14
Pimephales promelas,0,1,1
Pyrobaculum aerophilum,22,2,24
Scrobicularia plana,6,0,6
Helix aspersa,12,6,18
Pseudoalteromonas carrageenovora,5,0,5
Gordonia rubripertincta,7,0,7
Persea americana,29,20,49
cress,1,0,1
Caenorhabditis elegans,135,47,182
Pinus strobus,1,0,1
Bacillus alcalophilus,2,1,3
Ruminococcus flavefaciens,12,0,12
Dietzia maris,15,0,15
Streptococcus ratti,3,2,5
Staphylococcus caprae,3,0,3
Taxus cuspidata,9,2,11
Manduca sexta,99,27,126
Thermotoga petrophila,8,0,8
Paenibacillus barcinonensis,1,1,2
Coturnix coturnix,1,0,1
Dahlia pinnata,18,2,20
Thermoplasma acidophilum,119,29,148
Aptenia cordifolia,13,2,15
Hemachatus haemachatus,1,0,1
Geobacillus caldoxylosilyticus,7,2,9
Clostridium botulinum,206,23,229
Agkistrodon piscivorus leucostoma,3,0,3
Methanohalophilus mahii,2,0,2
Desulfitobacterium hafniense,10,1,11
Thermus aquaticus,73,16,89
Azoarcus evansii,15,2,17
Callistephus chinensis,13,0,13
Spisula solidissima,1,0,1
Perilla frutescens,17,4,21
Artemia salina,35,7,42
Anguilla japonica,0,5,5
Alligator mississippiensis,2,1,3
Serratia proteamaculans,22,0,22
Drosophila hydei,1,0,1
Hyphomicrobium methylovorum,82,0,82
Prevotella denticola,2,0,2
Prevotella oralis,1,0,1
Magnetospirillum magnetotacticum,2,0,2
Hylobates pileatus,2,0,2
Lathyrus sativus,50,1,51
Tamarindus indica,0,2,2
Azomonas insignis,1,0,1
Metallosphaera hakonensis,1,2,3
Datura stramonium,19,8,27
Bactris gasipaes,3,1,4
Ananas comosus,49,14,63
Olea europaea,37,0,37
Neobellieria bullata,10,0,10
Kocuria rosea,47,1,48
Harmonia axyridis,2,0,2
Saccharopolyspora erythraea,35,1,36
Catenovulum agarivorans,7,0,7
Vibrio alginolyticus,69,20,89
Methanococcoides burtonii,1,0,1
Rauvolfia vomitoria,1,0,1
Streptomyces laurentii,2,0,2
Arthrobacter pascens,35,0,35
Streptococcus oralis,1,0,1
Fusobacterium nucleatum,13,4,17
Abutilon theophrasti,1,0,1
Bifidobacterium dentium,4,0,4
Saduria entomon,1,0,1
Streptococcus intermedius,0,1,1
Pseudomonas nitroreducens,17,2,19
Thermococcus kodakarensis,43,24,67
Debaryomyces hansenii,56,3,59
Mesembryanthemum crystallinum,1,0,1
Apium graveolens,21,2,23
Cyprinus carpio,105,14,119
Artemia franciscana,1,0,1
Lactuca sativa,61,17,78
Canavalia ensiformis,291,2,293
Ovis aries aries,72,6,78
Cupiennius salei,8,0,8
Raja clavata,2,0,2
Thermoanaerobacter italicus,1,0,1
Clostridium baratii,7,2,9
Streptococcus pneumoniae,738,21,759
Alicyclobacillus sendaiensis,1,0,1
Phytolacca americana,1,0,1
Bothrops atrox,22,2,24
Dermasterias imbricata,1,0,1
Notropis hudsonius,0,1,1
Umbellularia californica,15,5,20
Felis catus,59,11,70
Mycobacterium abscessus,9,0,9
Udotea flabellum,5,0,5
Paucimonas lemoignei,26,1,27
Sedimentibacter hydroxybenzoicus,14,0,14
Tulipa gesneriana,12,1,13
Streptomyces rochei,11,0,11
Albibacter methylovorans,2,1,3
Thermococcus profundus,2,0,2
Streptomyces mobaraensis,30,1,31
Enterococcus casseliflavus,3,0,3
Urochloa panicoides,7,3,10
shark,11,0,11
Bacteroides xylanisolvens,3,0,3
Streptococcus equi,3,0,3
Parthenocissus tricuspidata,1,0,1
Solanum habrochaites,1,0,1
Pimpinella anisum,17,0,17
Withania somnifera,13,1,14
Styela plicata,10,0,10
Helicobacter pylori,467,29,496
Mentha x piperita,37,4,41
Streptomyces alboniger,2,0,2
Phaseolus coccineus,5,0,5
Pediococcus pentosaceus,47,2,49
Chionodraco hamatus,2,0,2
Betula pendula,0,1,1
Cellvibrio mixtus,1,0,1
Rhodococcus erythropolis,157,10,167
Eidolon helvum,8,0,8
Callospermophilus lateralis,11,0,11
Leifsonia aquatica,1,0,1
Brevundimonas diminuta,45,8,53
Streptomyces anulatus,1,1,2
plant,1,2,3
Lyrodus pedicellatus,2,0,2
Mougeotia scalaris,0,4,4
Apis mellifera,82,16,98
Pseudomonas savastanoi,41,0,41
Portulaca oleracea,16,0,16
Dryopteris filix-mas,1,1,2
Clostridium josui,4,2,6
Vigna unguiculata,61,10,71
Trimeresurus stejnegeri,5,0,5
Thermococcus litoralis,71,7,78
Ancylobacter aquaticus,5,0,5
Prunus mume,10,1,11
Astacus astacus,40,0,40
Ruminobacter amylophilus,12,1,13
Streptomyces griseoviridis,13,2,15
Cryptococcus terreus,0,1,1
Phalaris aquatica,5,0,5
Polysiphonia urceolata,0,1,1
Prevotella intermedia,8,0,8
Arabella iricolor,3,0,3
Petromyzon marinus,2,1,3
Hyoscyamus niger,84,9,93
Oenococcus oeni,22,5,27
Clostridium symbiosum,38,5,43
Microbulbifer thermotolerans,7,0,7
Yersinia pseudotuberculosis,17,1,18
Bacteroides vulgatus,4,1,5
Sporobolomyces roseus,1,0,1
Streptomyces yokosukanensis,6,0,6
Shigella sonnei,15,0,15
Anaerobranca gottschalkii,8,1,9
Acinetobacter johnsonii,19,0,19
Drosera capensis,2,0,2
Macroptilium atropurpureum,3,0,3
Haliotis cracherodii,1,0,1
Methanothermobacter marburgensis,31,4,35
Parawixia bistriata,6,1,7
Xanthomonas vasicola,1,0,1
Columba livia,53,5,58
Fusobacterium mortiferum,3,1,4
Tribolium confusum,2,0,2
Musa x paradisiaca,42,10,52
Cricetidae,0,1,1
Streptococcus mitis,26,4,30
Edwardsiella tarda,3,15,18
Bacillus agaradhaerens,11,5,16
Oncorhynchus masou,5,0,5
Chaetoceros decipiens,1,0,1
Pediococcus damnosus,5,1,6
Porphyridium purpureum,10,0,10
Oceanobacillus oncorhynchi,7,0,7
Ajuga reptans,0,2,2
Proteus mirabilis,65,1,66
Paenibacillus illinoisensis,0,5,5
Streptomyces cinnamonensis,20,2,22
Clostridium kluyveri,64,8,72
Anaerobiospirillum succiniciproducens,1,0,1
Biomphalaria glabrata,12,2,14
Vinca major,1,0,1
Anoxybacillus amylolyticus,5,0,5
Ipomoea batatas,97,28,125
Rhynchophorus palmarum,6,0,6
Thermobifida alba,4,0,4
More,3,0,3
Streptomyces griseocarneus,12,3,15
Scophthalmus maximus,3,0,3
Flaveria bidentis,15,1,16
Urocitellus richardsonii,3,5,8
Bordetella bronchiseptica,13,0,13
Ophiophagus hannah,8,0,8
Nocardia asteroides,25,1,26
Pseudomonas chlororaphis,40,3,43
Dicentrarchus labrax,45,3,48
Brachyspira pilosicoli,5,0,5
Pantoea ananatis,4,4,8
Cylindrotheca fusiformis,1,0,1
Alcaligenes faecalis,134,27,161
Labrenzia aggregata,2,0,2
Rubrivivax gelatinosus,21,17,38
Thermococcus waiotapuensis,1,0,1
Novosphingobium aromaticivorans,8,0,8
Odontella sinensis,6,2,8
Rhodotorula graminis,47,2,49
Chryseobacterium indologenes,3,0,3
Abrus precatorius,1,0,1
Argopecten irradians concentricus,9,2,11
Thermococcus pacificus,2,1,3
Cricetinae,17,15,32
Cuscuta pentagona,3,0,3
Streptomyces avermitilis,15,6,21
Corallina officinalis,1,1,2
Acer pseudoplatanus,14,1,15
Tropaeolum majus,23,12,35
Zobellia galactanivorans,2,0,2
Chaerophyllum bulbosum,0,2,2
Klebsiella pneumoniae,312,57,369
Peptoniphilus asaccharolyticus,20,3,23
Loxosceles gaucho,1,0,1
Streptomyces plicatus,16,0,16
Pseudoalteromonas elyakovii,8,6,14
Archaea,1,2,3
Prunus serotina,18,0,18
Peganum harmala,3,1,4
Chlorophyceae,1,0,1
Marthasterias glacialis,27,2,29
Aeropyrum pernix,100,8,108
Pontonia pinnophylax,2,0,2
Haloarcula japonica,1,0,1
Lactobacillus pentosus,25,2,27
Caldanaerobius polysaccharolyticus,14,0,14
Ginglymostoma cirratum,2,0,2
Dioscorea bulbifera,18,0,18
Massilia timonae,2,0,2
Osmerus mordax,2,0,2
Plumeria obtusa,4,3,7
Clupea harengus,1,0,1
Drosophila pseudoobscura,0,2,2
Ochrobactrum anthropi,41,5,46
Mastigocladus laminosus,14,2,16
Misgurnus mizolepis,15,4,19
Desulfovibrio desulfuricans,49,1,50
Lepidochelys kempii,1,1,2
Zea mays,895,147,1042
Anguilla anguilla,4,1,5
Euphorbia characias,18,2,20
Anguilla rostrata,2,1,3
Prunus yedoensis,2,0,2
Bothrops jararacussu,21,0,21
Actinoplanes auranticolor,0,1,1
Clostridium purinilyticum,2,0,2
Bacteroides thetaiotaomicron,32,2,34
Lactococcus lactis,224,47,271
Ilyobacter tartaricus,1,0,1
Montipora capitata,5,0,5
Hanseniaspora valbyensis,10,1,11
Cupriavidus metallidurans,11,1,12
Pseudomonas fluorescens,404,75,479
Pleurodeles waltl,3,0,3
Halobacillus halophilus,2,1,3
Bifidobacterium adolescentis,4,13,17
Rhodococcus pyridinivorans,0,1,1
Ferroplasma acidiphilum,4,0,4
Acanthamoeba castellanii,28,13,41
Burkholderia ambifaria,4,0,4
Paralithodes camtschaticus,8,0,8
Dictyoglomus turgidum,5,0,5
Entamoeba histolytica,221,21,242
Streptomyces glaucescens,76,0,76
Methanosarcina thermophila,107,27,134
Thiobacillus denitrificans,14,0,14
Leuconostoc citreum,1,0,1
Monopterus albus,2,1,3
Nicotiana tabacum,339,83,422
Gluconacetobacter diazotrophicus,22,1,23
salmon,15,0,15
Salinivibrio costicola,14,4,18
Pavlova gyrans,1,0,1
Oligotropha carboxidovorans,4,0,4
Pseudomonas stutzeri,102,14,116
Loligo vulgaris,3,0,3
Haloferax denitrificans,4,0,4
Thauera selenatis,1,1,2
Ipomoea purpurea,2,0,2
Cavia aperea,7,1,8
Oryza sativa,506,122,628
Paenibacillus polymyxa,27,1,28
Trifolium incarnatum,7,3,10
Mycobacterium fortuitum,3,0,3
Pilimelia terevasa,0,1,1
Dosidicus gigas,10,4,14
Bacillus coagulans,82,25,107
Corchorus olitorius,4,1,5
Pyrococcus yayanosii,10,0,10
Bacillus mycoides,14,0,14
Arthrobacter nicotinovorans,28,11,39
Acetabularia acetabulum,14,2,16
Exiguobacterium acetylicum,14,0,14
Gloydius ussuriensis,1,0,1
Tinca tinca,2,0,2
Pseudomonas straminea,41,6,47
Mycobacterium vaccae,2,2,4
Parietaria judaica,13,0,13
Streptomyces antibioticus,36,12,48
Thymus vulgaris,6,0,6
Nocardia iowensis,0,2,2
Jasminum grandiflorum,11,0,11
Streptomyces galilaeus,3,2,5
Solenopsis invicta,1,0,1
Prunus armeniaca,15,4,19
Neisseria subflava,1,0,1
Achromobacter xylosoxidans,68,7,75
Tatlockia micdadei,6,2,8
Ficus elastica,3,1,4
Stylophora pistillata,94,18,112
Callosobruchus chinensis,4,2,6
Jaculus orientalis,12,0,12
Acidomonas methanolica,1,0,1
Decapterus maruadsi,5,1,6
Odontella aurita,1,0,1
Silurus glanis,4,2,6
Ammi majus,13,1,14
Opisthorchis viverrini,1,1,2
Sesbania virgata,1,0,1
Butyrivibrio fibrisolvens,34,4,38
Pseudomonas indica,6,0,6
Chaetopterus variopedatus,2,0,2
Campylobacter jejuni,32,8,40
Chromohalobacter salexigens,3,2,5
Lobularia maritima,0,1,1
Chlorella variegata,3,0,3
Streptomyces lavendulae,18,1,19
Satureja hortensis,1,0,1
Clostridium beijerinckii,9,5,14
Acholeplasma laidlawii,22,25,47
Arthrobacter ureafaciens,33,1,34
Streptococcus uberis,0,1,1
Grammatophora oceanica,1,0,1
Bartonella quintana,4,0,4
Desulfovibrio fructosivorans,1,0,1
Glyceria maxima,2,0,2
Oreochromis mossambicus,3,0,3
Cistus incanus,9,0,9
Digitaria sanguinalis,65,0,65
Geobacter sulfurreducens,3,0,3
Sphingosinicella microcystinivorans,1,0,1
Streptomyces noursei,1,0,1
Streptomyces olivaceus,14,0,14
Bromus kalmii,0,2,2
Oceanobacillus iheyensis,1,0,1
Anser anser,7,3,10
Cristaria plicata,1,0,1
Pyrodictium occultum,2,0,2
Lactobacillus murinus,8,2,10
Desmodium paniculatum,1,0,1
Naja oxiana,5,0,5
Staphylococcus lugdunensis,0,1,1
Dalbergia cochinchinensis,7,0,7
Sulfurihydrogenibium azorense,0,12,12
Natronobacterium gregoryi,7,0,7
Raoultella planticola,7,0,7
Allium cepa,38,7,45
Clostridium tertium,2,0,2
Methanotorris igneus,1,0,1
Fratercula arctica,1,0,1
Streptomyces albidoflavus,8,0,8
Lactobacillus helveticus,79,5,84
Leucaena leucocephala,31,2,33
Moraxella catarrhalis,25,0,25
Helianthus tuberosus,48,5,53
Blautia producta,2,0,2
Thunnus albacares,7,1,8
Clostridium cylindrosporum,32,1,33
Larrea tridentata,0,1,1
Cylindrospermopsis raciborskii,1,0,1
Marchantia polymorpha,10,0,10
Cryptosporidium hominis,23,0,23
Candida parapsilosis,144,5,149
Sarcina ventriculi,6,1,7
Amaranthus viridis,14,1,15
Rhodospirillum rubrum,141,41,182
Cyclotella cryptica,5,1,6
Bonnemaisonia hamifera,0,1,1
Xanthomonas translucens,10,0,10
Loxosceles similis,1,0,1
Methanococcus aeolicus,20,1,21
Pseudomonas azotoformans,11,0,11
Paenibacillus woosongensis,8,1,9
Desulfovibrio vulgaris,35,8,43
Streptomyces exfoliatus,18,0,18
Microbacterium arborescens,1,0,1
Arthrobacter nicotianae,44,6,50
Canis lupus,8,0,8
Gloydius blomhoffii,9,0,9
Acidianus ambivalens,29,5,34
Papio ursinus,8,0,8
Bitis gabonica,4,0,4
Bartonella birtlesii,1,0,1
Legionella pneumophila,26,15,41
Azorhizobium caulinodans,1,2,3
Paenibacillus amylolyticus,1,0,1
Buccinum undatum,1,0,1
Malonomonas rubra,7,0,7
Salimicrobium halophilum,1,4,5
Sphaerotilus natans,4,3,7
Oryctolagus,21,0,21
Methyloversatilis universalis,0,1,1
Treponema denticola,54,7,61
Xanthisma gracile,6,1,7
Lemna minor,12,2,14
Cyamopsis tetragonoloba,5,0,5
Epinephelus coioides,8,0,8
Xiphophorus hellerii,1,0,1
Dianthus caryophyllus,22,3,25
Linum usitatissimum,14,7,21
Labeo rohita,7,10,17
Pteropus alecto,1,0,1
Eriocheir sinensis,1,0,1
Bacillus licheniformis,227,59,286
Allium fistulosum,4,1,5
Megasphaera elsdenii,16,3,19
Sulfurospirillum barnesii,1,0,1
Laribacter hongkongensis,3,0,3
Forsythia suspensa,2,0,2
Lactobacillus amylovorus,31,0,31
Mannheimia haemolytica,27,2,29
Thermoanaerobacter kivui,1,2,3
Salvia splendens,21,0,21
Thauera aromatica,15,4,19
Lymnaea stagnalis,5,1,6
Methanothermus fervidus,2,0,2
Galium mollugo,1,4,5
Gossypium arboreum,1,0,1
Pelobacter acidigallici,2,1,3
Selenomonas ruminantium,48,5,53
Tetraodon nigroviridis,0,1,1
Thunbergia alata,2,0,2
Mycobacterium ulcerans,4,0,4
Brochothrix thermosphacta,4,2,6
Bromus diandrus var. rigidus,0,2,2
Torulopsis versatilis,13,0,13
Bothrops asper,3,3,6
Agarivorans albus,11,4,15
Streptomyces rimosus,18,6,24
Lactobacillus fermentum,38,2,40
Beggiatoa alba,2,0,2
Neanthes virens,24,4,28
Rhodocyclus tenuis,11,17,28
Neisseria perflava,7,1,8
Loxosceles laeta,2,0,2
Bacillus megaterium,232,69,301
Terrabacter ginsenosidimutans,2,0,2
Virgibacillus halodenitrificans,1,0,1
Lytechinus variegatus,8,0,8
