,EC_number,bigg.metabolite,Commentary,Literature
0,1.1.1.6,so4_c,about 100% activation at 10 mM,668061
1,2.4.1.21,so4_c,,488914
2,1.1.1.6,k_c,activates NADH production,668061
3,2.1.1.13,k_c,at 67 mM 1.4 fold activity,441179
4,2.3.2.12,k_c,reaction is completely dependent upon potassium ions,487796
5,2.3.2.12,k_c,stimulation not so marked as that caused by NH4+ ions,487812
6,2.7.1.73,k_c,the enzyme requires both Mg2+ and K+,641925
7,1.1.1.6,nh4_c,activates NADH production,668061
8,2.1.1.13,nh4_c,at 67 mM 1.5 fold activity,441179
9,2.1.1.61,nh4_c,,441224
10,2.3.2.12,nh4_c,reaction is completely dependent upon ammonium ions,487796
11,2.3.2.12,nh4_c,,487797
12,2.3.2.12,nh4_c,combination of NH4+ ions with spermine produces an additive activity increase,487812
13,2.7.1.11,nh4_c,,640421
14,2.7.1.11,nh4_c,can replace K+,640486
15,2.7.1.15,nh4_c,activates,686025
16,2.7.1.39,nh4_c,30% of the activity obtained with 0.5 M K+,641465
17,3.1.13.5,nh4_c,stimulates,662077
18,3.1.26.3,nh4_c,maximum activity at 0.15-0.3 M,134343
19,3.1.26.3,nh4_c,cleavage pattern depends on concentration,"134348, 134349"
20,3.1.26.3,nh4_c,required,134352
21,3.1.26.3,nh4_c,stimualtion at 20 mM,"134357, 134361"
22,3.1.26.3,nh4_c,,134364
23,3.1.26.7,nh4_c,stimulates in presence of Mg2+,134433
24,3.6.5.3,nh4_c,,644155
25,1.1.1.49,spmd_c,activation constant: 0.2 mM,722577
26,1.6.5.11,spmd_c,enzyme optimally activated by phospholipids is additionally activated 2fold,392816
27,2.1.1.35,spmd_c,slight activation at 20 mM in presence of 50 mM ammonium acetate,441359
28,2.1.1.35,spmd_c,"activates, inhibitory at optimal Mg2+ concentration",441365
29,2.1.1.193,spmd_c,"in the presence of spermidine, Mg2+ is not required for activity. Activity could be restored up to 60% of that with Mg2+ by addition of spermidine at 30 mM",706717
30,2.7.7.8,spmd_c,"0.1-1.0 mM, activates ADP-phosphate exchange 2fold",643680
31,3.1.13.1,spmd_c,can replace missing Mg2+ to a small extent,134049
32,3.1.26.5,spmd_c,M1 RNA subunit can catalyze the cleavage of tRNA precursor molecules in the presence of 5 mM spermine or spermidine,134422
33,3.2.2.21,spmd_c,stimulates activity,"646847, 646851"
34,3.4.21.53,spmd_c,"activation, at physiological concentration, ATP hydrolysis and protease activity",29339
35,6.1.1.5,spmd_c,at least 2 bound Mg2+ or spermidines required for binding of tRNA to the enzyme,454
36,6.1.1.5,spmd_c,activates,462
37,6.1.1.19,spmd_c,supports aminoacylation in presence of crude tRNA not in presence of resolved tRNA,270
38,1.1.1.78,gthrd_c,slight activation,207976
39,1.1.1.205,gthrd_c,,"347934, 347946"
40,1.2.1.22,gthrd_c,,288135
41,2.1.1.35,gthrd_c,activates,441365
42,2.7.1.25,gthrd_c,reduced glutathione increases the activity significantly,641217
43,3.5.1.16,gthrd_c,,171960
44,4.1.1.98,gthrd_c,slight stimulation of activity at 10 mM,729319
45,1.1.1.169,for_c,"E256A mutant activity greatly increased, twice as high at pH 7.2 as at pH 5.9",286109
46,6.3.2.10,for_c,slight activation of mutant K202A,651110
47,1.1.1.202,glyc_c,,695764
48,4.3.1.1,glyc_c,activates,6001
49,1.1.5.3,fad_c,stimulates the reaction with phenazine methosulfate and methylene blue. 20% increase in activity of the reaction with phenazine methosulfate with a half-maximal concentration of 200 nM,287817
50,4.1.99.3,fad_c,enzyme contains FAD as catalytic cofactor and a second chromophore as a light harvesting antenna,650966
51,4.1.99.3,fad_c,FAD binding pocket is similar to that of cryptochrome 1,705348
52,1.1.5.3,fmn_c,stimulates the reaction with phenazine methosulfate. 6fold increase in activity with a half-maximal concentration of 0.13 mM,287817
53,1.7.1.6,fmn_c,,394310
54,1.2.1.4,etoh_c,0.5-2% increases activity in crude extracts,655889
55,2.7.6.5,etoh_c,"little activity unless activated either by a complex of 70S ribosomes, mRNA and uncharged tRNA or by a solvent like ethanol at approximately 20%",642773
56,6.3.4.14,etoh_c,"maximal activation, 10fold, at 15% v/v. Inactivation at 20% v/v",1426
57,6.3.4.14,etoh_c,"maximal activation, 11fold at 15%",1428
58,1.2.1.16,4abut_c,induction,288039
59,1.2.1.16,4abut_c,induces GabD dehydrogenase,692836
60,1.2.1.21,pydx_c,"approx. 0.1 mM, 1.4fold increase in activity of isozyme A",390214
61,1.2.1.21,pydx5p_c,"approx. 0.1 mM, 1.5fold increase in activity of isozyme B",390214
62,2.6.1.102,pydx5p_c,pyridoxal 5'-phosphate dependent aminotransferase,722259
63,2.7.7.27,pydx5p_c,activation,643141
64,2.7.7.27,pydx5p_c,activation; allosteric activator; wild-type enzyme and mutant SG14,643144
65,2.7.7.27,pydx5p_c,,661743
66,2.8.1.6,pydx5p_c,required for cysteine desulfurase activity of the enzyme,645609
67,1.2.1.21,pydxn_c,"0.1 mM, 1.5fold increase in activity of isozyme B",390214
68,1.2.4.2,adp_c,,672280
69,1.6.1.1,adp_c,75.5% activation at 2 mM,725040
70,2.7.1.11,adp_c,,722736
71,2.7.7.27,adp_c,"activation, less effective than 3-phosphoglycerate",643141
72,3.1.11.5,adp_c,less effective than ATP,133998
73,3.6.3.12,adp_c,,289111
74,4.1.1.8,adp_c,"the presence of 0.3 mM ADP results in a marginal increase in kcat and a small decrease in Km, leading to a 1.7fold higher catalytic efficiency. One molecule of ADP is bound per monomer distant from the CoA binding site",714955
75,1.2.4.2,pi_c,,672280
76,1.8.1.9,pi_c,2fold activation,393993
77,2.3.1.41,pi_c,"activation, 0.2 M",486864
78,2.7.4.1,pi_c,"inhibiton above 20 mM; required for activity, only in the presence of histone",645114
79,2.7.7.8,pi_c,"1-10 mM, strong activation of PNPase exonuclease activity",643706
80,2.7.7.8,pi_c,,"643711, 643713"
81,3.1.11.6,pi_c,5-10fold higher activity compared to Tris-HCL buffer,134037
82,3.1.11.6,pi_c,stimulates,700496
83,3.5.1.16,pi_c,,171964
84,1.2.5.1,ocdcea_c,122% of the activitation with palmitic acid,701890
85,1.2.5.1,ddca_c,126% of the activitation with palmitic acid,701890
86,1.2.5.1,ddca_c,"activation by covalent attachment, binding site Lys544",707462
87,1.2.5.1,ttdca_c,109% of the activitation with palmitic acid,701890
88,1.2.5.1,ocdcea_c,,288359
89,1.2.5.1,ocdcea_c,102% of the activitation with palmitic acid,701890
90,2.7.1.107,ocdcea_c,activates only in presence of Triton X-100,640361
91,1.2.5.1,hdca_c,,288359
92,1.2.5.1,hdca_c,activation,701890
93,2.7.1.107,hdca_c,activates only in presence of Triton X-100,640361
94,1.2.5.1,hdcea_c,137% of the activitation with palmitic acid,701890
95,1.3.3.11,nadph_c,NAD(P)H enhances pyrroloquinoline quinone production in the presence of activating factor ActF,677952
96,5.4.99.9,nadph_c,"enzyme activation mechanism, overview",726820
97,1.3.5.1,atp_c,activation,348059
98,1.3.5.1,atp_c,,391169
99,1.4.1.4,atp_c,"at 2 mM, 50% activation",391685
100,1.6.1.1,atp_c,53.4% activation at 2 mM,725040
101,1.17.4.1,atp_c,stimulation of CDP reduction; stimulation of UDP reduction,"437913, 437918, 437937, 437938"
102,1.17.4.1,atp_c,ATP is an allosteric effector,687294
103,1.17.4.1,atp_c,,714233
104,1.17.4.1,atp_c,activation by ATP has a regulatory function,716317
105,2.1.3.2,atp_c,,485838
106,2.1.3.2,atp_c,"allosteric effector, increases the apparent rate of unliganded T-state to substrate-bound R-state",662646
107,2.1.3.2,atp_c,"ATP enhances ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)",685252
108,2.1.3.2,atp_c,addition of ATP along with the substrates increases the rate of the transition from the low activity T to the high activity R state and also decreases the duration of the R-state steady-state phase,699559
109,2.1.3.2,atp_c,"the effects of binding of nucleotides are monitored in a series of 1H-13C methyl TROSY spectroscopy spectra recorded on the 300 kDa aspartate transcarbamoylase holoenzyme in both the absence and the presence of saturating amounts of ATP or CTP. No changes in shifts of methyl probes of the catalytic chains that include the active sites are observed, consistent with a lack of structural changes. Results indicate that the mechanism of action of ATP and CTP can be explained fully by the Monod-Wyman-Changeux model",699578
110,2.3.1.15,atp_c,activation of acyltransferase in isolated membrane preparations,486381
111,2.7.1.89,atp_c,dependent on the presence of,642072
112,2.7.7.41,atp_c,a maximal stimulation of about 3fold with CTP as substrate and 1.25fold with dCTP,643314
113,3.1.3.41,atp_c,"stimulates the 4-nitrophenyl phosphatase activity 3.5fold at concentrations of 0.001-0.030 mM, but inhibits it at concentrations above 0.5 mM, mechanism",664031
114,3.1.21.5,atp_c,"ATP hydrolysis activated by recognition site binding leads to release of the enzyme from the site, dissociation from the substrate via a free DNA end and cleavage of the DNA",730513
115,3.1.21.7,atp_c,required,714813
116,3.2.2.4,atp_c,,"171818, 657368"
117,3.4.24.B17,atp_c,ATP-dependent metalloendoprotease belonging to the AAA family (ATPases associated with diverse cellular activities),692881
118,3.4.24.B20,atp_c,dependent on,"712664, 713211"
119,3.4.24.B20,atp_c,"dependent on, the C-terminus comprise the cytoplasmic ATPase and protease domain. The ATPase domain contains the Walker A/B motifs and the second region of homology responsible for the binding and hydrolysis of ATP",713495
120,3.6.1.1,atp_c,"ATP activates hydrolysis of MgPPi by E-PPase, molecular docking and kinetic analysis involving Lys112 and Lys115, activation mechanism, and regulatory function of ATP, modelling, overview",685305
121,3.6.3.1,atp_c,"flippase activity is essentially supported only by ATP. If the ATP concentration in the assay falls below 5 mM, there is a significant decrease in flippase activity. Maximal translocation occurs at 10 mM ATP",711144
122,3.6.3.12,atp_c,,"289111, 289116"
123,3.6.4.10,atp_c,"in 1:1 mixture with ATP-gammaS, greatly stimulates protein remodeling",689141
124,4.1.1.8,atp_c,weak activating effect,714955
125,4.2.1.30,atp_c,,675901
126,1.3.5.1,ppi_c,activation,391169
127,2.7.4.1,ppi_c,"10 mM, 100% activation of guanosine 5'-tetraphosphate synthesis",645129
128,2.7.7.8,ppi_c,activation of PNPase RNA synthesis activity at very low concentrations of phosphate,643706
129,1.3.5.1,so4_c,activation,391169
130,2.4.1.1,so4_c,activation,488238
131,1.4.1.4,amp_c,slight activation up to 1 mM,391685
132,1.6.1.1,amp_c,71.8% activation at 2 mM,725040
133,2.7.7.27,amp_c,"activation, less effective than 3-phosphoglycerate",643141
134,2.7.7.27,amp_c,,643161
135,4.1.1.8,amp_c,weak activating effect,714955
136,1.4.1.4,utp_c,activates up to 70%,391675
137,2.1.3.2,utp_c,"allosteric effector, makes steady state vanishingly short",662646
138,3.1.11.5,utp_c,less effective than ATP,133998
139,1.5.1.30,nadh_c,,698992
140,1.17.1.8,nadh_c,,696300
141,1.5.1.30,nadph_c,,698992
142,1.17.1.8,nadph_c,similar affinity as NADH,696300
143,2.7.7.27,nadph_c,activation; no activation,643144
144,2.8.1.10,nadph_c,strong stimulation,715465
145,4.2.1.47,nadph_c,activates,5732
146,1.7.1.6,h2o2_c,"1 mM, increase in expression of azoR mRNA relative to the expression at zero time before stress is applied, at 10 min 0.9, at 20 min 0.6, 10 mM, 10 min 3.0, 20 min 1.9",698629
147,1.17.4.1,h2o2_c,activation,437927
