"","kingdom","phylum","class","order","family","genus","species","RevisedName"
"Megasphaera elsdenii","Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA
"Methanobacterium formicicum","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"thermophilic iron-oxidizing bacterium strain TI-1",NA,NA,NA,NA,NA,NA,NA,NA
"Sulfurospirillum deleyianum","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Wolinella succinogenes","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Pyrodictium abyssi","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales",NA,NA,NA,NA
"Ralstonia eutropha H16",NA,NA,NA,NA,NA,NA,NA,NA
"Clostridium acetobutylicum","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Thiocapsa roseopersicina","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Hydrogenophaga sp.","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Frateuria sp.","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Brevibacterium fuscum",NA,NA,NA,NA,NA,NA,NA,NA
"Sphingobium xenophagum","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Citrobacter sp.","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Pseudomonas alcaligenes","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Moraxella osloensis","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Cistus creticus",NA,NA,NA,NA,NA,NA,NA,NA
"Gram-negative rod",NA,NA,NA,NA,NA,NA,NA,NA
"Achromobacter sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Rana catesbeiana",NA,NA,NA,NA,NA,NA,NA,NA
"Cupriavidus metallidurans","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Thiobacillus thioparus","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Histoplasma capsulatum",NA,NA,NA,NA,NA,NA,NA,NA
"Frog",NA,NA,NA,NA,NA,NA,NA,NA
"Phenylobacterium immobile","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Azotobacter sp.","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Burkholderia sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Sphingomonas paucimobilis","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Prunus persica","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA,NA
"Vitis labrusca x Vitis vinifera",NA,NA,NA,NA,NA,NA,NA,NA
"Nostoc sp. PCC 7120",NA,NA,NA,NA,NA,NA,NA,NA
"Human Immunodeficiency Virus",NA,NA,NA,NA,NA,NA,NA,NA
"Meriones unguiculatus","Animalia","Chordata","Mammalia","Rodentia","Muridae",NA,NA,NA
"Acidianus tengchongensis",NA,NA,NA,NA,NA,NA,NA,NA
"Sulfobacillus acidophilus","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Gaeumannomyces graminis",NA,NA,NA,NA,NA,NA,NA,NA
"Gram-negative soil bacterium",NA,NA,NA,NA,NA,NA,NA,NA
"Renilla sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Renilla reniformis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Gaussia princeps (T. Scott, 1894)",NA,NA,NA,NA,NA,NA,NA,NA
"Photinus pyralis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Luciola cruciata","Animalia",NA,NA,NA,NA,NA,NA,NA
"Pyrophorus plagiophthalamus",NA,NA,NA,NA,NA,NA,NA,NA
"Cyberlindnera mrakii",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces longisporoflavus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Glarea lozoyensis",NA,NA,NA,NA,NA,NA,NA,NA
"Paramecium bursaria Chlorella virus-1",NA,NA,NA,NA,NA,NA,NA,NA
"Lumbricus terrestris","Animalia",NA,NA,NA,NA,NA,NA,NA
"Onchocerca volvulus",NA,NA,NA,NA,NA,NA,NA,NA
"Panagrellus silusiae",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces griseoviridis","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Rhodotorula glutinis","Fungi",NA,NA,NA,NA,NA,NA,NA
"Leishmania tarentolae",NA,NA,NA,NA,NA,NA,NA,NA
"Mesorhizobium loti","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Matthiola incana","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Petroselinum crispum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Vitis vinifera","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Pyrus communis","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae","Pyrus",NA,NA
"Hyoscyamus niger","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Atropa belladonna",NA,NA,NA,NA,NA,NA,NA,NA
"Datura metel","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Duboisia leichhardtii","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Hyoscyamus albus","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Hyoscyamus gyorffi","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Hyoscyamus muticus","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Hyoscyamus pusillus",NA,NA,NA,NA,NA,NA,NA,NA
"Vigna angularis","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae","Vigna",NA,NA
"Agrobacterium aurantiacum",NA,NA,NA,NA,NA,NA,NA,NA
"Alcaligenes sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Haematococcus pluvialis","Plantae",NA,NA,NA,NA,NA,NA,NA
"Perilla frutescens","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Populus deltoides","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Dianthus caryophyllus","Plantae",NA,"Magnoliopsida","Caryophyllales",NA,NA,NA,NA
"Acremonium chrysogenum",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces kanamyceticus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Aspergillus fumigatus",NA,NA,NA,NA,NA,NA,NA,NA
"Sphingobium herbicidovorans","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Bacillus thuringiensis","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA
"Photorhabdus luminescens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Musa acuminata","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Azoarcus evansii","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Trichosporon cutaneum",NA,NA,NA,NA,NA,NA,NA,NA
"Geobacillus thermoglucosidasius","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus",NA,NA
"uncultured microorganism",NA,NA,NA,NA,NA,NA,NA,NA
"Petroselinum sp.","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Melilotus albus","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Rhodococcus jostii","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Methylosinus trichosporium OB3b",NA,NA,NA,NA,NA,NA,NA,NA
"Rhodococcus sp. PN1",NA,NA,NA,NA,NA,NA,NA,NA
"Aplysia californica","Animalia",NA,NA,NA,NA,NA,NA,NA
"Rana pipiens",NA,NA,NA,NA,NA,NA,NA,NA
"Mentha x piperita","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Sphingobium chlorophenolicum","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Cicer arietinum","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Rhodococcus rhodochrous","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Nocardioides sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Monilinia fructicola","Fungi",NA,NA,NA,NA,NA,NA,NA
"Cryptococcus neoformans","Fungi",NA,"Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus",NA,NA
"Taxus x media","Plantae",NA,NA,NA,NA,NA,NA,NA
"Glycyrrhiza echinata","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Crotalaria scassellatii",NA,NA,NA,NA,NA,NA,NA,NA
"Ammi majus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Pinus taeda","Plantae",NA,NA,NA,NA,NA,NA,NA
"Afipia felis","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Dunaliella salina","Plantae",NA,NA,NA,NA,NA,NA,NA
"Panax notoginseng",NA,NA,NA,NA,NA,NA,NA,NA
"Trichophyton rubrum",NA,NA,NA,NA,NA,NA,NA,NA
"Calanus finmarchicus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Salvia officinalis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Pseudonocardia autotrophica","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Hypophthalmichthys molitrix","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Silurus glanis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Cyprinus carpio","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Lolium rigidum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Orobanche ramosa","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Macrobrachium lamarrei","Animalia",NA,NA,NA,NA,NA,NA,NA
"Macrobrachium malcolmsonii","Animalia",NA,NA,NA,NA,NA,NA,NA
"Echinochloa phyllopogon","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Helicoverpa zea","Animalia",NA,NA,NA,NA,NA,NA,NA
"Vibrio harveyi","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Aliivibrio fischeri","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Acinetobacter baumannii","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Aminobacter aminovorans","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Pseudomonas oleovorans","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Curvularia lunata",NA,NA,NA,NA,NA,NA,NA,NA
"Absidia caerulea",NA,NA,NA,NA,NA,NA,NA,NA
"Salmo salar","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Mytilus galloprovincialis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Chromobacterium violaceum","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Legionella pneumophila","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Heteropneustes fossilis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Drosophila virilis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Tecoma stans","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Thunnus albacares","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Ralstonia solanacearum","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Streptomyces coeruleorubidus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Persea americana","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"plant","Plantae",NA,NA,NA,NA,NA,NA,NA
"Malus sylvestris",NA,NA,NA,NA,NA,NA,NA,NA
"Trifolium pratense","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Mushroom",NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna pruriens","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Trapa acornis",NA,NA,NA,NA,NA,NA,NA,NA
"Bromus carinatus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus diandrus var. rigidus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus erectus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus fasciculatus",NA,NA,NA,NA,NA,NA,NA,NA
"Bromus hordeaceus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus japonicus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus kalmii","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus madritensis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bromus tectorum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Litopenaeus vannamei","Animalia",NA,NA,NA,NA,NA,NA,NA
"Populus nigra","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Malus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Marsupenaeus japonicus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Heterometrus bengalensis",NA,NA,NA,NA,NA,NA,NA,NA
"Rana esculenta ridibunda",NA,NA,NA,NA,NA,NA,NA,NA
"Ramonda serbica","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Crocus sativus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Aeromonas media","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Bactris gasipaes","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Euterpe edulis",NA,NA,NA,NA,NA,NA,NA,NA
"Euterpe oleracea","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Ilex argentinus",NA,NA,NA,NA,NA,NA,NA,NA
"Dugesia japonica",NA,NA,NA,NA,NA,NA,NA,NA
"Asterias rubens","Animalia",NA,NA,NA,NA,NA,NA,NA
"Carthamus tinctorius","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Sesamum indicum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Actinomyces sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Amycolatopsis lactamdurans",NA,NA,NA,NA,NA,NA,NA,NA
"Pectobacterium carotovorum","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Cyanidium caldarium","Plantae",NA,NA,NA,NA,NA,NA,NA
"Neisseria meningitidis","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Streptomyces roseochromogenes",NA,NA,NA,NA,NA,NA,NA,NA
"Felis catus","Animalia","Chordata","Mammalia",NA,NA,NA,NA,NA
"Pan troglodytes","Animalia","Chordata","Mammalia","Primates","Hominidae",NA,NA,NA
"Papio sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Aspergillus ochraceus",NA,NA,NA,NA,NA,NA,NA,NA
"Latia neritoides",NA,NA,NA,NA,NA,NA,NA,NA
"Schistocerca gregaria",NA,NA,NA,NA,NA,NA,NA,NA
"Corynebacterium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Rhodococcus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthamoeba castellanii",NA,NA,NA,NA,NA,NA,NA,NA
"Taxus brevifolia","Plantae",NA,NA,NA,NA,NA,NA,NA
"Taxus cuspidata","Plantae",NA,NA,NA,NA,NA,NA,NA
"Staphylococcus lugdunensis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Macrobrachium nipponense","Animalia",NA,NA,NA,NA,NA,NA,NA
"Marinomonas sp.","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Scedosporium apiospermum",NA,NA,NA,NA,NA,NA,NA,NA
"Haliotis diversicolor supertexta",NA,NA,NA,NA,NA,NA,NA,NA
"Yersinia enterolytica","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Plantago lanceolata","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Prunus cerasifera","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA,NA
"Prunus dulcis","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA,NA
"Schistosoma japonicum",NA,NA,NA,NA,NA,NA,NA,NA
"Veillonella atypica","Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA
"Streptomyces cyanogenus",NA,NA,NA,NA,NA,NA,NA,NA
"Vaccinia virus",NA,NA,NA,NA,NA,NA,NA,NA
"Enterobacteria phage T2",NA,NA,NA,NA,NA,NA,NA,NA
"Enterobacteria phage T4",NA,NA,NA,NA,NA,NA,NA,NA
"Enterobacteria phage T5",NA,NA,NA,NA,NA,NA,NA,NA
"Enterobacteria phage T6",NA,NA,NA,NA,NA,NA,NA,NA
"Corynebacterium ammoniagenes","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Chlamydia trachomatis","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Aerobic soil bacterium",NA,NA,NA,NA,NA,NA,NA,NA
"Desmonostoc muscorum",NA,NA,NA,NA,NA,NA,NA,NA
"Cyanobacteria","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Clostridium pasteurianum","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Clostridium tyrobutyricum","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Staphylococcus aureus subsp. aureus RN4220",NA,NA,NA,NA,NA,NA,NA,NA
"Variovorax sp.","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Triticum sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Alcaligenes faecalis","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Clavibacter michiganensis subsp. sepedonicus",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces jumonjinensis",NA,NA,NA,NA,NA,NA,NA,NA
"Antirrhinum majus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Clostridium sticklandii","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Eubacterium acidaminophilum","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Chiloscyllium punctatum","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Lactuca sativa","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Pelobacter acidigallici","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Shewanella sediminis","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Desulfitobacterium hafniense","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Thauera selenatis","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Crocodylus porosus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Diceros bicornis","Animalia","Chordata","Mammalia","Perissodactyla",NA,NA,NA,NA
"Chlorocebus aethiops","Animalia","Chordata","Mammalia","Primates",NA,NA,NA,NA
"Spirulina sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Pyrococcus abyssi",NA,NA,NA,NA,NA,NA,NA,NA
"Physarum polycephalum","Fungi",NA,NA,NA,NA,NA,NA,NA
"feline coronavirus",NA,NA,NA,NA,NA,NA,NA,NA
"Dengue virus",NA,NA,NA,NA,NA,NA,NA,NA
"SARS coronavirus",NA,NA,NA,NA,NA,NA,NA,NA
"Paramecium tetraurelia",NA,NA,NA,NA,NA,NA,NA,NA
"Robinia pseudoacacia","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Chrysosplenium americanum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Eubacterium HX","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Sterculia foetida","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Clostridium butyricum","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Streptomyces antibioticus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Lemna paucicostata",NA,NA,NA,NA,NA,NA,NA,NA
"Sulfolobus islandicus",NA,NA,NA,NA,NA,NA,NA,NA
"Pyrococcus sp. GI-H",NA,NA,NA,NA,NA,NA,NA,NA
"Coptis japonica",NA,NA,NA,NA,NA,NA,NA,NA
"Papaver bracteatum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Vigna umbellata","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae","Vigna",NA,NA
"Trichoderma longibrachiatum",NA,NA,NA,NA,NA,NA,NA,NA
"Cricetinae","Animalia","Chordata","Mammalia","Rodentia",NA,NA,NA,NA
"Cyanidioschyzon sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Halorhodospira halochloris","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Coffea arabica","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Batis maritima","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Streptomyces sahachiroi",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces carzinostaticus",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces lavendulae","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Macaca radiata","Animalia","Chordata","Mammalia","Primates",NA,NA,NA,NA
"Moritella profunda","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Serratia marcescens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Mya arenaria","Animalia",NA,NA,NA,NA,NA,NA,NA
"Opsanus beta","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Moniliella megachiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"Blastobotrys adeninivorans",NA,NA,NA,NA,NA,NA,NA,NA
"Methanococcus aeolicus","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Lindernia dubia","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Lindernia micrantha",NA,NA,NA,NA,NA,NA,NA,NA
"Lindernia procumbens","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Schoenoplectiella juncoides",NA,NA,NA,NA,NA,NA,NA,NA
"Ginkgo biloba","Plantae",NA,NA,NA,NA,NA,NA,NA
"Xenopus (Silurana) tropicalis",NA,NA,NA,NA,NA,NA,NA,NA
"Pichia ciferrii",NA,NA,NA,NA,NA,NA,NA,NA
"Allium fistulosum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Allium tuberosum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Arachis hypogaea","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Codonopsis lanceolata",NA,NA,NA,NA,NA,NA,NA,NA
"Coix lacryma-jobi","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Cornus officinalis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Cuscuta japonica","Plantae",NA,"Magnoliopsida","Solanales",NA,NA,NA,NA
"Diospyros kaki","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Eucommia ulmoides","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Euryale ferox","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Oenanthe siolonifera",NA,NA,NA,NA,NA,NA,NA,NA
"Paeonia suffruticosa","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Perilla frutescens var. acuta",NA,NA,NA,NA,NA,NA,NA,NA
"Pinus densiflora","Plantae",NA,NA,NA,NA,NA,NA,NA
"Pinus koraiensis","Plantae",NA,NA,NA,NA,NA,NA,NA
"Polygonatum multiflorum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Polygonatum sibiricum",NA,NA,NA,NA,NA,NA,NA,NA
"Poria cocos",NA,NA,NA,NA,NA,NA,NA,NA
"Prunus armeniaca","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA,NA
"Rosa laevigata","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA,NA
"Saposhnikovia divaricata",NA,NA,NA,NA,NA,NA,NA,NA
"Sasamorpha purpurascens",NA,NA,NA,NA,NA,NA,NA,NA
"Limulus polyphemus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Periplaneta americana","Animalia",NA,NA,NA,NA,NA,NA,NA
"Doryteuthis opalescens",NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella enterica","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Halobacterium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Umbelopsis ramanniana",NA,NA,NA,NA,NA,NA,NA,NA
"Macrobrachium borellii","Animalia",NA,NA,NA,NA,NA,NA,NA
"Acinetobacter sp. ADP1",NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Locusta migratoria",NA,NA,NA,NA,NA,NA,NA,NA
"Alligator mississippiensis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Columba sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus clausii","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA
"Protaminobacter rubrum",NA,NA,NA,NA,NA,NA,NA,NA
"Cricetidae","Animalia","Chordata","Mammalia","Rodentia",NA,NA,NA,NA
"Macaca mulatta","Animalia","Chordata","Mammalia","Primates",NA,NA,NA,NA
"Aeromonas salmonicida","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Kocuria rosea","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Artemia nauplii",NA,NA,NA,NA,NA,NA,NA,NA
"Sphingobacterium multivorum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Clostridium beijerinckii","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Haemophilus influenzae","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Pasteurella multocida","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Yersinia pestis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Lathyrus sativus","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Juglans sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Tulipa hybrid cultivar",NA,NA,NA,NA,NA,NA,NA,NA
"Xanthisma gracile","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Hanseniaspora valbyensis","Fungi",NA,"Saccharomycetes","Saccharomycetales","Saccharomycetaceae",NA,NA,NA
"Clarias gariepinus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Sparus aurata","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Tetranychus urticae",NA,NA,NA,NA,NA,NA,NA,NA
"Raphanus sativus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
