,EC_number,subsystem,$| log_{10}(\Gamma) |$,bigg.metabolite,num_regulators,Regulation
0,1.1.1.-,Methylglyoxal Metabolism,1.59,0.0,0 regulators,not regulated
1,1.1.1.1,Unassigned,1.46,0.0,0 regulators,not regulated
2,1.1.1.130,Alternate Carbon Metabolism,1.59,2.0,1-2 regulators,regulated
3,1.1.1.133,Cell Envelope Biosynthesis,0.35,0.0,0 regulators,not regulated
4,1.1.1.140,Alternate Carbon Metabolism,1.15,1.0,1-2 regulators,regulated
5,1.1.1.17,Alternate Carbon Metabolism,0.76,0.0,0 regulators,not regulated
6,1.1.1.193,Cofactor and Prosthetic Group Biosynthesis,2.12,0.0,0 regulators,not regulated
7,1.1.1.205,Purine and Pyrimidine Biosynthesis,1.72,11.0,3+ regulators,regulated
8,1.1.1.215,Alternate Carbon Metabolism,2.05,0.0,0 regulators,not regulated
9,1.1.1.22,Cell Envelope Biosynthesis,1.25,2.0,1-2 regulators,regulated
10,1.1.1.267,Cofactor and Prosthetic Group Biosynthesis,1.74,2.0,1-2 regulators,regulated
11,1.1.1.271,Cell Envelope Biosynthesis,0.35,2.0,1-2 regulators,regulated
12,1.1.1.282,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",3.985,0.0,0 regulators,not regulated
13,1.1.1.290,Cofactor and Prosthetic Group Biosynthesis,1.59,0.0,0 regulators,not regulated
14,1.1.1.298,Nucleotide Salvage Pathway,1.89,0.0,0 regulators,not regulated
15,1.1.1.336,Cell Envelope Biosynthesis,1.49,2.0,1-2 regulators,regulated
16,1.1.1.35,Alternate Carbon Metabolism,1.59,0.0,0 regulators,not regulated
17,1.1.1.35,Membrane Lipid Metabolism,1.57,0.0,0 regulators,not regulated
18,1.1.1.350,Alternate Carbon Metabolism,1.1,0.0,0 regulators,not regulated
19,1.1.1.381,Threonine and Lysine Metabolism,4.01,0.0,0 regulators,not regulated
20,1.1.1.42,Citric Acid Cycle,0.78,2.0,1-2 regulators,regulated
21,1.1.1.49,Pentose Phosphate Pathway,0.49,9.0,3+ regulators,regulated
22,1.1.1.57,Alternate Carbon Metabolism,1.01,8.0,3+ regulators,regulated
23,1.1.1.58,Alternate Carbon Metabolism,1.05,3.0,3+ regulators,regulated
24,1.1.1.6,Alternate Carbon Metabolism,1.93,5.0,3+ regulators,regulated
25,1.1.1.61,Arginine and Proline Metabolism,0.2,0.0,0 regulators,not regulated
26,1.1.1.69,Alternate Carbon Metabolism,2.02,0.0,0 regulators,not regulated
27,1.1.1.71,Pyruvate Metabolism,1.68,0.0,0 regulators,not regulated
28,1.1.1.72,Alternate Carbon Metabolism,3.25,0.0,0 regulators,not regulated
29,1.1.1.79,Glyoxylate Metabolism,3.695,0.0,0 regulators,not regulated
30,1.1.1.85,"Valine, Leucine, and Isoleucine Metabolism",2.785,0.0,0 regulators,not regulated
31,1.1.1.86,"Valine, Leucine, and Isoleucine Metabolism",1.61,3.0,3+ regulators,regulated
32,1.1.1.94,Alternate Carbon Metabolism,2.1,14.0,3+ regulators,regulated
33,1.1.1.95,Glycine and Serine Metabolism,2.81,10.0,3+ regulators,regulated
34,1.1.99.33,Pyruvate Metabolism,0.64,5.0,3+ regulators,regulated
35,1.11.1.16,Unassigned,34.87,0.0,0 regulators,not regulated
36,1.11.1.6,Unassigned,20.56,3.0,3+ regulators,regulated
37,1.13.11.16,Alternate Carbon Metabolism,28.33,1.0,1-2 regulators,regulated
38,1.14.12.17,Nitrogen Metabolism,19.985,3.0,3+ regulators,regulated
39,1.14.12.19,Alternate Carbon Metabolism,26.22,0.0,0 regulators,not regulated
40,1.14.13.127,Alternate Carbon Metabolism,29.57,0.0,0 regulators,not regulated
41,1.16.3.1,Inorganic Ion Transport and Metabolism,1.02,1.0,1-2 regulators,regulated
42,1.17.1.2,Cofactor and Prosthetic Group Biosynthesis,5.385,7.0,3+ regulators,regulated
43,1.17.1.4,Nucleotide Salvage Pathway,1.71,0.0,0 regulators,not regulated
44,1.17.4.1,Nucleotide Salvage Pathway,3.51,12.0,3+ regulators,regulated
45,1.2.1.-,Alternate Carbon Metabolism,3.62,0.0,0 regulators,not regulated
46,1.2.1.10,Pyruvate Metabolism,0.16,4.0,3+ regulators,regulated
47,1.2.1.11,Threonine and Lysine Metabolism,0.09,5.0,3+ regulators,regulated
