,Inhibition,Activation,Total
Halorhodospira halochloris,10,3,13
Saprolegnia monoica,9,3,12
Sarcina ventriculi,6,1,7
Cyanidium caldarium,2,2,4
Coriandrum sativum,1,0,1
Lepidorhombus boscii,6,0,6
Corchorus olitorius,4,1,5
Tetragenococcus muriaticus,2,0,2
Colwellia maris,2,0,2
Citrobacter freundii,98,23,121
Halothermothrix orenii,1,0,1
Vigna radiata,195,29,224
Haemophilus parahaemolyticus,5,0,5
Anolis carolinensis,0,2,2
Flavobacterium aquatile,2,0,2
Lampetra fluviatilis,3,0,3
Ficus carica,14,3,17
Pisaster ochraceus,2,0,2
Streptomyces reticuli,2,3,5
Saccharomyces cerevisiae,3862,580,4442
Oncorhynchus kisutch,11,0,11
Streptomyces galilaeus,3,2,5
Papio hamadryas,35,0,35
Suaeda linifolia,1,0,1
Acidiphilium acidophilum,17,3,20
Shigella sonnei,15,0,15
Balistes capriscus,3,0,3
Paralabrax nebulifer,1,1,2
Pinus strobus,1,0,1
Squalus acanthias,28,22,50
Prevotella intermedia,8,0,8
Fagopyrum esculentum,22,1,23
Sarda sarda,8,0,8
Selaginella kraussiana,1,1,2
Cerebratulus lacteus,1,0,1
Mycobacterium vaccae,2,2,4
Elysia chlorotica,1,0,1
Desulfococcus multivorans,1,0,1
Reticulitermes flavipes,7,0,7
Salimicrobium halophilum,1,4,5
Dictyoglomus turgidum,5,0,5
Amaranthus spinosus,13,6,19
Kocuria varians,8,0,8
Oncorhynchus keta,16,4,20
Cervidae,1,0,1
Erimacrus isenbeckii,3,5,8
Massilia timonae,2,0,2
Morus alba,1,0,1
Tetrahymena pyriformis,106,21,127
Bacillus licheniformis,229,59,288
Macrobdella decora,1,0,1
Neisseria gonorrhoeae,89,3,92
Pseudomonas synxantha,22,0,22
Opsanus beta,0,1,1
Lilium longiflorum,64,2,66
Astragalus sinicus,6,0,6
Galium mollugo,1,4,5
Deinagkistrodon acutus,19,0,19
Pouteria sapota,7,3,10
Vicia sativa,5,1,6
Sulfurospirillum deleyianum,6,5,11
Cellulomonas flavigena,1,0,1
Streptomyces cinnamoneus,8,1,9
Ranunculaceae,1,0,1
Champsocephalus gunnari,0,1,1
Flavobacterium saccharophilum,17,0,17
Actinoplanes philippinensis,0,1,1
Clostridium symbiosum,38,5,43
Trygonorrhina fasciata,2,0,2
Oryza sativa,506,122,628
Haliotis tuberculata,0,3,3
Bacillus clausii,12,2,14
Brassica nigra,22,1,23
Streptomyces antibioticus,36,12,48
Evernia prunastri,16,4,20
Ramonda serbica,5,1,6
Bothrops marajoensis,2,2,4
Borassus flabellifer,10,2,12
Blautia producta,2,0,2
Phlebodium aureum,2,0,2
Acholeplasma laidlawii,22,25,47
Mastigocoleus testarum,2,0,2
Actinosynnema pretiosum,5,0,5
Crassostrea gigas,12,2,14
Nocardia asteroides,25,1,26
Cryptosporidium parvum,82,6,88
Erythrina variegata,6,1,7
Deinococcus geothermalis,8,2,10
Hyphomicrobium methylovorum,82,0,82
Ophelia neglecta,4,0,4
Neisseria cinerea,1,0,1
Streptococcus dysgalactiae,28,0,28
Allium cepa,38,7,45
Eleutherococcus senticosus,1,0,1
Pinus banksiana,5,0,5
Bacteroides ovatus,17,6,23
Chlorobaculum thiosulfatiphilum,15,16,31
Pseudechis papuanus,1,0,1
Serpens flexibilis,3,0,3
Gracilibacillus dipsosauri,7,0,7
cress,1,0,1
Euglena gracilis,301,68,369
Necator americanus,1,0,1
Callithrix jacchus,5,1,6
Neisseria polysaccharea,1,3,4
Rubus plicatus,5,0,5
Cellulomonas biazotea,1,0,1
Rhizobium leguminosarum,28,0,28
Cenchrus americanus,11,2,13
Aphis gossypii,4,2,6
Clostridium purinilyticum,2,0,2
Thermococcus waiotapuensis,1,0,1
Umbellularia californica,15,5,20
Eubacterium limosum,7,0,7
Bromus erectus,0,2,2
Weissella paramesenteroides,5,0,5
Phaeospirillum molischianum,6,17,23
Yersinia pestis,90,3,93
Haemophilus ducreyi,9,0,9
Bacteroides uniformis,3,0,3
Sphaerotilus natans,4,3,7
Sterculia foetida,1,1,2
Zonotrichia albicollis,4,0,4
Lactobacillus johnsonii,1,0,1
Laminaria digitata,1,0,1
Camelus bactrianus,14,6,20
Nephilengys cruentata,1,0,1
Cricetinae,17,15,32
Paralithodes camtschaticus,8,0,8
Corallina officinalis,1,1,2
Acinetobacter radioresistens,4,0,4
Burkholderia dolosa,4,0,4
Picrophilus torridus,92,0,92
Thymus vulgaris,6,0,6
Novosphingobium aromaticivorans,8,0,8
Microtetraspora glauca,2,0,2
Streptomyces chromofuscus,14,7,21
Tetragenococcus halophilus,2,1,3
Acinetobacter lwoffii,20,4,24
Corynebacterium pseudodiphtheriticum,8,0,8
Photuris pennsylvanica,35,0,35
Euonymus alatus,35,5,40
Myroides odoratus,0,2,2
Pterygoplichthys disjunctivus,12,0,12
Carassius carassius,0,2,2
Lactobacillus rhamnosus,4,1,5
Pseudoalteromonas atlantica,2,0,2
Staphylococcus hominis,5,0,5
insecta,2,0,2
Ralstonia solanacearum,2,1,3
Burkholderia thailandensis,36,0,36
Lactobacillus dextrinicus,0,1,1
Armoracia rusticana,16,3,19
Lymnaea stagnalis,5,1,6
Sepioteuthis sepioidea,1,0,1
Ophiodon elongatus,1,0,1
Mycoplasma suis,2,0,2
Autographa californica,2,0,2
Haematococcus pluvialis,1,5,6
Methanobacterium palustre,4,0,4
Methylovorus mays,1,0,1
Methanosarcina mazei,17,6,23
Homo sapiens,48867,4208,53075
Streptomyces venezuelae,15,6,21
Artemisia annua,11,1,12
Clusia minor,5,0,5
Pseudomonas fluorescens,404,75,479
Tulipa gesneriana,12,1,13
Staphylococcus chromogenes,5,0,5
Calystegia sepium,11,0,11
Legionella pneumophila,26,15,41
Pallavicinia lyellii,14,0,14
Anabaena cylindrica,12,3,15
Ficus lyrata,0,1,1
Pseudomonas anguilliseptica,5,0,5
Heliobacterium chlorum,2,0,2
Meiothermus ruber,12,0,12
Moraxella osloensis,3,1,4
Parawixia bistriata,6,1,7
Avena sativa,128,18,146
Jasminum grandiflorum,11,0,11
Moritella viscosa,2,0,2
Trematomus bernacchii,3,0,3
Edwardsiella tarda,3,15,18
Buccinum undatum,1,0,1
Scyliorhinus canicula,17,3,20
Suaeda maritima,1,0,1
Enterobius vermicularis,3,0,3
Watasenia scintillans,1,0,1
Pinus taeda,8,3,11
Clostridium beijerinckii,9,5,14
Bothrops atrox,22,2,24
Callinectes ornatus,3,1,4
Heteropneustes fossilis,10,7,17
Meleagris gallopavo,72,25,97
Staurastrum cingulum,1,0,1
Coturnix coturnix,1,0,1
Staphylococcus epidermidis,122,3,125
Callorhinus ursinus,1,0,1
Sphingobacterium multivorum,9,1,10
Bothrops moojeni,4,3,7
Trifolium incarnatum,7,3,10
Streptomyces hygroscopicus,25,5,30
Glycyrrhiza echinata,5,4,9
Amycolatopsis mediterranei,33,11,44
Desulfarculus baarsii,3,0,3
Olea europaea,37,0,37
protozoa,1,1,2
Forsythia suspensa,2,0,2
Novosphingobium capsulatum,18,0,18
Eledone moschata,4,0,4
Vibrio rumoiensis,3,0,3
Bacillus pumilus,67,4,71
Delesseria sanguinea,0,1,1
Schlegelella thermodepolymerans,15,0,15
Plumeria obtusa,4,3,7
Mycoplasma pneumoniae,14,1,15
Vibrio anguillarum,6,0,6
Methanoculleus thermophilus,3,0,3
Dermasterias imbricata,1,0,1
Litopenaeus setiferus,7,0,7
Fenneropenaeus penicillatus,1,0,1
Asclepias syriaca,3,0,3
Mycoplasma hominis,6,1,7
Cistanche deserticola,12,0,12
Hypophthalmichthys molitrix,16,4,20
Perilla frutescens,17,4,21
Bradyrhizobium elkanii,1,0,1
Paenibacillus amylolyticus,1,0,1
Sitobion avenae,5,0,5
Clostridium stercorarium,32,1,33
Coffea arabica,18,2,20
Debaryomyces hansenii,56,3,59
Streptococcus suis,12,3,15
Flavobacterium frigidimaris,31,0,31
Jeotgalibacillus marinus,1,0,1
Zygnema cylindricum,1,0,1
Propionibacterium acnes,6,0,6
Streptococcus equi,3,0,3
Treponema pallidum,5,0,5
Rhodocyclus tenuis,11,17,28
Actinia equina,3,2,5
Streptomyces rimosus,18,6,24
Channa argus,6,0,6
Lytechinus pictus,11,2,13
Nicotiana glauca,8,3,11
Desulfomicrobium baculatum,1,0,1
Calliphora vicina,8,1,9
Ilyobacter tartaricus,1,0,1
Amaranthus viridis,14,1,15
Gloydius blomhoffii,9,0,9
Vibrio furnissii,9,0,9
Spisula solidissima,1,0,1
Arabidopsis thaliana,1216,277,1493
Ophiophagus hannah,8,0,8
Suberites domuncula,2,0,2
Pseudomonas savastanoi,41,0,41
Suncus murinus,2,0,2
Alopecurus aequalis,1,0,1
Macaca mulatta,60,33,93
Ulva pertusa,1,0,1
Lactobacillus acidophilus,78,17,95
Vaucheria litorea,0,1,1
Porphyromonas gingivalis,217,36,253
Caudina arenicola,1,0,1
Thermococcus pacificus,2,1,3
Bordetella parapertussis,4,0,4
Rauvolfia vomitoria,1,0,1
Methanobacterium formicicum,4,3,7
Cuphea wrightii,3,0,3
Bitis arietans,4,0,4
Laribacter hongkongensis,3,0,3
Asplenium nidus,7,0,7
Syntrophobacter fumaroxidans,1,0,1
Lathyrus cicera,6,0,6
Trailliella intricata,0,1,1
Arthrobacter phenanthrenivorans,1,0,1
Natronobacterium gregoryi,7,0,7
Enterobacter aerogenes,245,49,294
Porphyridium purpureum,10,0,10
Pseudoalteromonas mariniglutinosa,4,0,4
Nototodarus sloanii,5,0,5
Sulfurospirillum multivorans,14,0,14
Lumbricus rubellus,2,0,2
Streptococcus criceti,0,1,1
Escherichia coli,8366,1058,9424
Lemna trisulca,3,0,3
Methylosinus trichosporium,34,1,35
Haliotis cracherodii,1,0,1
Oryctolagus cuniculus,2838,421,3259
Hanseniaspora uvarum,2,1,3
Udotea flabellum,5,0,5
Acanthoscelides obtectus,6,0,6
Methanococcus maripaludis,45,26,71
Xenopus laevis,212,68,280
Melilotus albus,14,3,17
Pythium ultimum,3,0,3
Halothiobacillus neapolitanus,7,5,12
Lysinibacillus fusiformis,7,1,8
Prevotella oris,1,0,1
Thiohalophilus thiocyanatoxydans,12,0,12
Quercus robur,2,1,3
Myxococcus xanthus,94,1,95
Methylomicrobium album,1,0,1
Thermithiobacillus tepidarius,1,1,2
Pseudomonas marginalis,23,1,24
Ammi majus,13,1,14
Lonicera japonica,21,1,22
Shewanella algae,1,2,3
Lycopus europaeus,1,0,1
Chromobacterium violaceum,56,3,59
Liposcelis entomophila,9,3,12
Rhodopseudomonas palustris,90,28,118
Peganum harmala,3,1,4
toad,15,0,15
Bergeriella denitrificans,1,0,1
Equus asinus,12,8,20
Lathyrus sativus,51,1,52
Epinephelus malabaricus,1,0,1
Pseudobutyrivibrio ruminis,1,0,1
Pigeon,39,4,43
Xanthomonas vasicola,1,0,1
Astragalus bisulcatus,6,0,6
Streptomyces murinus,5,0,5
Mangifera indica,1,0,1
Rattus rattus,21,1,22
Vicia faba,86,9,95
Lactobacillus sakei,29,1,30
Lachesis muta,1,0,1
Pseudomonas azotoformans,11,0,11
Taxus brevifolia,4,2,6
Methanococcoides burtonii,1,0,1
Gordonia bronchialis,1,0,1
Clostridium sticklandii,168,22,190
Brassica rapa,7,3,10
Dunaliella salina,23,1,24
Fibrobacter succinogenes,15,3,18
Malus pumila,0,1,1
Paucimonas lemoignei,26,1,27
Thermoleophilum minutum,1,0,1
Lathyrus latifolius,2,0,2
Mus musculus,6520,1376,7896
Solanum lycopersicum,320,82,402
Tribolium castaneum,19,3,22
Eucalyptus gunnii,2,0,2
Plectranthus barbatus,2,0,2
Ananas comosus,50,14,64
Rhodococcus rhodochrous,67,7,74
Bothrops alternatus,6,0,6
Magnetospirillum magnetotacticum,2,0,2
Methanopyrus kandleri,10,10,20
Pseudomonas mendocina,35,1,36
Megasphaera elsdenii,16,3,19
Thermoplasma volcanium,3,1,4
Columba livia,53,5,58
Schistosoma mansoni,209,5,214
Prosthecochloris vibrioformis,10,1,11
Hippoglossus hippoglossus,1,1,2
Streptomyces corchorusii,4,0,4
Mycobacterium bovis,35,1,36
Gloydius ussuriensis,1,0,1
Pseudonocardia thermophila,17,2,19
Quercus glauca,1,0,1
Solanum torvum,4,0,4
Clostridium josui,4,2,6
Bifidobacterium animalis,1,1,2
Corynebacterium xerosis,4,0,4
Acinetobacter baumannii,25,2,27
Chroomonas salina,8,0,8
Methanotorris igneus,1,0,1
Ruminococcus albus,30,8,38
Paracoccus versutus,4,0,4
Cupriavidus oxalaticus,12,1,13
Staphylococcus simulans,7,5,12
Potamopyrgus antipodarum,4,0,4
Ceramium rubrum,0,1,1
Lactobacillus buchneri,22,2,24
Artemia salina,35,7,42
Clarkia breweri,26,1,27
Micrococcus lylae,13,0,13
Streptomyces clavuligerus,93,17,110
Thunnus tonggol,3,0,3
Culex quinquefasciatus,41,3,44
Hyoscyamus niger,84,9,93
Scorpaena porcus,4,4,8
Thermoanaerobacter kivui,1,2,3
Hypericum androsaemum,0,1,1
Moraxella bovis,5,0,5
Azohydromonas lata,2,0,2
Sparus aurata,19,6,25
Tecoma stans,64,2,66
Solenopsis invicta,1,0,1
Tillandsia fasciculata,5,0,5
Ovophis okinavensis,2,0,2
Hominoidea,12,0,12
Malonomonas rubra,7,0,7
Azotobacter chroococcum,33,7,40
Micrococcus flavus,1,1,2
Desulfobulbus elongatus,1,0,1
Samia cynthia,2,0,2
Capnocytophaga granulosa,3,0,3
Actinoplanes campanulatus,0,1,1
Fucus distichus,1,0,1
Nepenthes ampullaria,2,0,2
Cryptococcus albidus,11,0,11
Zea mays,895,147,1042
Scomber australasicus,8,5,13
Methanobrevibacter smithii,1,0,1
Scomber japonicus,7,0,7
Pinus radiata,6,2,8
Propionibacterium freudenreichii,36,4,40
Methanococcus vannielii,13,1,14
Vitis labrusca,4,0,4
Eucommia ulmoides,0,1,1
Populus nigra,13,3,16
Dissostichus mawsoni,3,0,3
Pseudomonas nitroreducens,17,2,19
Cyanobacteria,0,1,1
Salvia officinalis,86,7,93
Pelobacter acidigallici,2,1,3
Morganella morganii,61,4,65
Crypthecodinium cohnii,7,0,7
Sinapis alba,43,19,62
Ficus benghalensis,0,1,1
Polytrichum commune,5,0,5
Lithospermum erythrorhizon,21,5,26
Weissella viridescens,12,1,13
Nocardia globerula,6,2,8
Mycobacterium tuberculosis,2155,86,2241
Fusobacterium nucleatum,13,4,17
Caldicellulosiruptor saccharolyticus,33,4,37
Acidilobus saccharovorans,5,3,8
Lepus townsendii,1,0,1
Bungarus multicinctus,2,1,3
Atriplex hortensis,0,1,1
Cannabis sativa,9,0,9
Merluccius productus,3,0,3
Musca domestica,37,8,45
Rhodothermus marinus,16,2,18
Pedobacter heparinus,93,2,95
Nitzschia thermalis,1,0,1
Haloarcula hispanica,1,0,1
Xylella fastidiosa,1,0,1
Desulfurococcus mucosus,8,0,8
Macrobrachium amazonicum,1,1,2
Sphingobium xenophagum,4,1,5
Serratia liquefaciens,6,19,25
Microbacterium saperdae,5,0,5
Thermobifida fusca,69,6,75
Glandirana rugosa,1,0,1
Acer pseudoplatanus,14,1,15
Methanosarcina acetivorans,11,5,16
Bacillus anthracis,344,23,367
Lactococcus lactis,226,47,273
Afipia felis,0,1,1
Carapichea ipecacuanha,28,0,28
Streptomyces albulus,6,0,6
Ureaplasma urealyticum,6,0,6
Shewanella oneidensis,10,3,13
Mytilus edulis,16,7,23
Lactobacillus gasseri,10,6,16
Macrobrachium rosenbergii,4,0,4
Anethum graveolens,3,0,3
Butyrivibrio fibrisolvens,34,4,38
Patiria pectinifera,43,10,53
Phaeospirillum fulvum,0,1,1
Daboia russelii,32,1,33
Rhodovulum sulfidophilum,5,0,5
Spirillospora albida,0,1,1
Streptococcus salivarius,54,12,66
Sorbus aucuparia,2,2,4
Origanum majorana,9,1,10
Velesunio ambiguus,3,0,3
Erwinia pyrifoliae,1,1,2
Odontella aurita,1,0,1
Thunnus albacares,7,1,8
Cicer arietinum,99,14,113
Dahlia pinnata,18,2,20
Bacillus thuringiensis,42,20,62
Wedelia biflora,21,0,21
Naja naja,40,2,42
Acanthamoeba castellanii,28,13,41
Listeria monocytogenes,19,6,25
Anacystis marina,10,0,10
Unio pictorum,1,0,1
Microbacterium luteolum,3,1,4
Aeromonas media,6,2,8
Mesorhizobium ciceri,7,1,8
Rhinella marina,10,2,12
Arum maculatum,3,0,3
Pediococcus damnosus,5,1,6
Clostridium oroticum,28,10,38
Aralia elata,5,0,5
Bruguiera sexangula,2,2,4
Alopecurus myosuroides,13,0,13
Sphingobium chlorophenolicum,4,1,5
Ankistrodesmus braunii,3,0,3
Diabrotica virgifera virgifera,1,0,1
Leptocylindrus minimus,1,0,1
Parthenium argentatum,6,2,8
Peltigera rufescens,1,1,2
Charybdis japonica,13,0,13
Alternanthera ficoidea,1,2,3
Aptenia cordifolia,13,2,15
Neisseria subflava,1,0,1
Triturus carnifex,1,1,2
Galeus melastomus,1,1,2
Lactobacillus delbrueckii,44,4,48
Ictalurus punctatus,2,0,2
Littorina littorea,42,3,45
Geobacillus thermodenitrificans,50,8,58
Quercus ilex,0,1,1
Thunnus thynnus,3,1,4
Eutrema japonicum,9,4,13
Pseudoalteromonas haloplanktis,26,2,28
Eisenia andrei,7,0,7
Candida intermedia,4,0,4
Cytisus scoparius,13,2,15
Enterococcus casseliflavus,3,0,3
Asterococcus superbus,1,0,1
Liposcelis bostrychophila,4,1,5
Pseudomonas aeruginosa,1339,141,1480
Stichococcus bacillaris,1,0,1
Strongylocentrotus franciscanus,3,0,3
Asterionella formosa,2,1,3
Micromonospora echinospora,2,0,2
Acetobacter pasteurianus,22,3,25
Clostridium tyrobutyricum,9,1,10
Euphorbia lathyris,1,0,1
Streptomyces violascens,23,0,23
Candida boidinii,120,3,123
Rhodococcus rhodnii,0,1,1
Acidithiobacillus thiooxidans,35,1,36
Yersinia kristensenii,6,0,6
Macrobrachium vollenhovenii,10,0,10
Eubacterium acidaminophilum,7,3,10
Lactobacillus otakiensis,1,0,1
Pasteurella multocida,7,2,9
Methanococcus voltae,10,4,14
Phragmites australis,2,3,5
Sulfolobus acidocaldarius,148,32,180
Leucaena leucocephala,31,2,33
Glyceria maxima,2,0,2
Leuconostoc lactis,20,1,21
Rhodosporidium toruloides,56,11,67
Odoribacter splanchnicus,3,0,3
Lactuca sativa,61,17,78
Torulopsis sphaerica,13,0,13
Neovison vison,2,0,2
Streptomyces noursei,1,0,1
Alnus glutinosa,1,0,1
Anthocidaris crassispina,25,2,27
Pediococcus acidilactici,7,1,8
Mycobacterium phlei,83,13,96
Phenylobacterium immobile,2,1,3
Turbatrix aceti,12,2,14
Ovis ammon,1,1,2
Luciola cruciata,4,2,6
Macaca fascicularis,43,13,56
Crotalus adamanteus,110,7,117
Leuconostoc citreum,1,0,1
Methanosarcina thermophila,107,27,134
Synanceia verrucosa,0,1,1
Eleusine indica,8,0,8
Streptomyces chartreusis,5,0,5
Peromyscus maniculatus,4,1,5
Candida sake,4,0,4
Rhamdia quelen,3,0,3
Streptomyces albaduncus,5,0,5
Bifidobacterium bifidum,59,18,77
Centella asiatica,2,0,2
Urocitellus richardsonii,3,5,8
Euonymus japonicus,12,0,12
Catenovulum agarivorans,7,0,7
Coxiella burnetii,4,0,4
Staphylococcus caprae,3,0,3
snake,6,0,6
Bacillus mycoides,14,0,14
Buchnera aphidicola,1,0,1
Nuphar lutea,2,0,2
Trachemys scripta elegans,9,0,9
Duboisia leichhardtii,0,4,4
Methylobacterium nodulans,1,0,1
Aeromonas jandaei,16,0,16
Lemna gibba,1,0,1
Nesterenkonia xinjiangensis,5,1,6
Bacillus methanolicus,18,6,24
Chlorella variegata,3,0,3
Gadus macrocephalus,8,0,8
Sphingosinicella microcystinivorans,1,0,1
Novispirillum itersonii,5,0,5
Caryophanon latum,1,0,1
Actinoplanes missouriensis,5,0,5
Serratia plymuthica,7,0,7
Pseudoalteromonas espejiana,3,0,3
Passiflora edulis,0,1,1
Helicoverpa zea,17,1,18
Clitoria ternatea,5,0,5
Neisseria meningitidis,196,14,210
Nilaparvata lugens,0,2,2
Clostridium aminovalericum,11,1,12
Thermobispora bispora,0,1,1
Tropidechis carinatus,0,2,2
Neobellieria bullata,10,0,10
Salinibacter ruber,2,8,10
Triphysaria versicolor,2,0,2
Mentha x piperita,37,4,41
Asteroidea,9,3,12
Papio anubis,9,0,9
Ochromonas malhamensis,4,4,8
Simmondsia chinensis,8,3,11
Thermoanaerobacterium thermosulfurigenes,19,0,19
Euterpe oleracea,10,1,11
Chryseobacterium indologenes,3,0,3
Shewanella sediminis,0,1,1
Lolium perenne,4,0,4
Bonnemaisonia hamifera,0,1,1
Acetobacter aceti,42,1,43
Ruminococcus flavefaciens,12,0,12
Salinivibrio costicola,14,4,18
Naja oxiana,5,0,5
Priacanthus macracanthus,2,0,2
Bacteroides fragilis,87,7,94
Abrus precatorius,1,0,1
Ficus elastica,3,1,4
Desulfurococcus amylolyticus,3,0,3
Rhodospirillum rubrum,141,41,182
Bacillus megaterium,232,69,301
Clostridium bifermentans,1,0,1
Providencia rettgeri,9,0,9
Ruminococcus torques,2,0,2
Nicotiana glutinosa,19,2,21
Haemophilus haemolyticus,9,0,9
Solanum habrochaites,1,0,1
Clostridium cellulolyticum,1,0,1
Staphylococcus xylosus,2,2,4
Pinus koraiensis,0,1,1
Clostridium sporogenes,17,2,19
Streptococcus sanguinis,15,3,18
Lepidochelys kempii,1,1,2
Arthrobacter viscosus,11,17,28
Clupea harengus,1,0,1
Brucella melitensis,18,1,19
Enterococcus faecalis,584,42,626
Selenastrum capricornutum,7,1,8
Staphylococcus capitis,4,0,4
Ailanthus altissima,1,0,1
Chiloscyllium punctatum,2,1,3
Streptomyces plicatus,16,0,16
Amaranthus hypochondriacus,10,3,13
Streptomyces cinnamonensis,20,2,22
Streptomyces olivochromogenes,7,7,14
Staphylococcus warneri,8,1,9
Prevotella denticola,2,0,2
Acanthaster planci,1,0,1
Agromyces mediolanus,2,0,2
Uronema marinum,6,1,7
Streptococcus acidominimus,0,1,1
Solanum peruvianum,37,1,38
Rhyzopertha dominica,10,0,10
Bacillus agaradhaerens,11,5,16
Palaemon serratus,17,2,19
Bacillus fastidiosus,35,0,35
Agave americana,10,0,10
Crataegus laevigata,2,0,2
Sinomonas atrocyanea,7,11,18
Bruguiera gymnorhiza,1,0,1
Mimosa pudica,4,0,4
Streptomyces yokosukanensis,6,0,6
Corynebacterium ammoniagenes,33,4,37
Onobrychis viciifolia,25,0,25
Pinus pinea,6,1,7
Streptomyces bikiniensis,15,0,15
Paralichthys olivaceus,60,13,73
Clostridium cochlearium,11,0,11
Ectocarpus siliculosus,4,0,4
Parophrys vetulus,5,0,5
Lysobacter enzymogenes,15,1,16
Metallosphaera hakonensis,1,2,3
Lethocerus griseus,0,1,1
Dactylosporangium thailandense,0,1,1
Bacillus firmus,7,1,8
Mamestra configurata,1,0,1
Aeropyrum camini,1,0,1
Solanum x edinense,1,0,1
Lachnospira multipara,5,0,5
Pteropus alecto,1,0,1
Myzus persicae,1,0,1
Oxalobacter formigenes,11,1,12
Serratia fonticola,3,0,3
Streptococcus intermedius,0,1,1
Avena fatua,1,0,1
Bacteroides vulgatus,4,1,5
Pseudopterogorgia elisabethae,2,0,2
Pyrobaculum islandicum,7,7,14
Clostridium cylindrosporum,32,1,33
Riccia fluitans,8,8,16
Acidovorax avenae,2,1,3
Microbacterium liquefaciens,3,0,3
Mallomonas caudata,1,0,1
Sphingopyxis macrogoltabida,8,1,9
Pomacea canaliculata,2,0,2
Sulfolobus metallicus,1,0,1
Aggregatibacter actinomycetemcomitans,2,0,2
Torulopsis versatilis,13,0,13
Dryopteris filix-mas,1,1,2
Pseudoalteromonas tetraodonis,3,0,3
Acidiphilium organovorum,4,0,4
Camptotheca acuminata,1,3,4
Marinomonas mediterranea,9,0,9
Lathyrus odoratus,16,0,16
Zalophus californianus,1,0,1
Fungi,4,0,4
Arthrobacter nicotianae,44,6,50
Bromus carinatus,0,2,2
Oligotropha carboxidovorans,4,0,4
Glebionis segetum,8,1,9
Petromyzon marinus,2,1,3
Mus booduga,2,0,2
Brochothrix thermosphacta,4,2,6
Nicotiana alata,1,4,5
Galeocerdo cuvier,1,0,1
Methylibium petroleiphilum,0,1,1
Enterococcus hirae,25,0,25
Anthoceros agrestis,1,0,1
Thioalkalivibrio nitratireducens,6,0,6
Eclipta prostrata,33,0,33
Natronomonas pharaonis,5,0,5
Sea urchin,4,0,4
Mentha x gracilis,2,0,2
Proteus penneri,2,0,2
Viola tricolor,5,0,5
Vitis amurensis,0,1,1
Persephonella marina,3,0,3
Clonorchis sinensis,19,0,19
Phytophthora infestans,4,1,5
Thermoanaerobacter brockii,9,1,10
Desulfotalea psychrophila,0,1,1
Cryptosporidium hominis,23,0,23
Phyllostachys edulis,14,4,18
Culex pipiens,2,1,3
Biomphalaria glabrata,12,2,14
Hydrogenophaga palleronii,2,0,2
Eleginus gracilis,3,0,3
Pyrococcus woesei,23,4,27
Macrococcus caseolyticus,10,1,11
Terrabacter ginsenosidimutans,2,0,2
Lactobacillus casei,162,7,169
Liza saliens,6,0,6
Paenibacillus macerans,21,17,38
Streptococcus agalactiae,96,3,99
Streptomyces flocculus,4,0,4
Mycoplasma gallinarum,1,0,1
Artemia franciscana,1,0,1
Streptomyces purpurascens,5,0,5
Antirrhinum majus,17,1,18
Trimeresurus malabaricus,9,0,9
Panax ginseng,9,4,13
Eubacterium barkeri,38,6,44
Rhodococcus pyridinivorans,0,1,1
Alca torda,1,0,1
Citrobacter koseri,5,0,5
Capra hircus,217,21,238
Dryopteris erythrosora,0,1,1
Lepas anatifera,1,0,1
Klebsiella pneumoniae,314,57,371
Weissella confusa,12,1,13
Phytolacca americana,1,0,1
Prevotella melaninogenica,1,0,1
Chlorocebus aethiops,127,14,141
Staphylococcus lugdunensis,0,1,1
Saccharopolyspora erythraea,35,1,36
Thiobacillus thioparus,67,7,74
Bartonella henselae,6,0,6
Yersinia pseudotuberculosis,17,1,18
Cephaloleia presignis,7,1,8
Capsicum annuum,47,13,60
Rhizobium phaseoli,4,0,4
Cryptosporidium muris,1,0,1
Dunaliella tertiolecta,5,1,6
Rosa laevigata,0,1,1
Abies grandis,45,4,49
Petrotoga mobilis,7,0,7
Moritella abyssi,2,0,2
Desulfovibrio fructosivorans,1,0,1
Pseudomonas luteola,7,0,7
Candida rugosa,21,4,25
Cuscuta reflexa,8,0,8
Asparagus officinalis,24,4,28
Trachemys scripta,10,3,13
Pleurodeles waltl,3,0,3
Skeletonema costatum,6,0,6
Kocuria rosea,47,1,48
Populus trichocarpa,12,2,14
Oenococcus oeni,22,5,27
Microbacterium trichothecenolyticum,2,0,2
Carum carvi,4,0,4
Scomberomorus sierra,2,0,2
Pseudomonas reinekei,2,0,2
Trichoplusia ni,22,4,26
Brevibacillus agri,1,0,1
Bryum argenteum,0,3,3
Methylobacterium extorquens,32,12,44
Micrococcus luteus,148,49,197
Callistephus chinensis,13,0,13
Desulfovibrio gigas,31,1,32
Thermotoga thermarum,12,2,14
Hylobates pileatus,2,0,2
Pseudomonas carboxydohydrogena,1,0,1
Actinoplanes auranticolor,0,1,1
Sesbania virgata,1,0,1
Fusobacterium mortiferum,3,1,4
Arenibacter latericius,8,0,8
Gossypium arboreum,1,0,1
Agarivorans albus,11,4,15
Asterias rubens,26,4,30
Albizia julibrissin,3,0,3
Matthiola incana,29,1,30
Bacillus coagulans,82,25,107
Thermotoga hypogea,7,0,7
Paracentrotus lividus,6,0,6
Sinningia cardinalis,10,0,10
Fragaria x ananassa,24,12,36
Burkholderia pyrrocinia,3,0,3
Salaria basilisca,4,0,4
Clostridium tertium,2,0,2
Didelphis virginiana,0,1,1
