,Type,Key,EC_number,LigandID,Compound,TotalEntries,Entropy,Summary,URL,NullEntropy,NullSummary,Literature,NumReferences,Organisms,DeltaEntropy
ki:1.1.1.1:1078,ki,"('1.1.1.1', '1078')",1.1.1.1,1078,pyrazole,11,0.231917762862,Animalia:7;Fungi:1;Archaea:1;Bacteria:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.1#INHIBITORS,0.242663863199,Animalia:126;Bacteria:73;Archaea:45;Plantae:34;Fungi:18;Protozoa:3,285565;285579;285580;285600;285603;285615;285626;285649;655262;681763,10,Homo sapiens;Rattus norvegicus;Saimiri sciureus;Macaca mulatta;Oryctolagus cuniculus;Mus musculus;Coturnix coturnix;Glycine max;Saccharomyces cerevisiae;Thermomicrobium roseum;Sulfolobus solfataricus,-0.0107461003375
ki:1.1.1.1:21,ki,"('1.1.1.1', '21')",1.1.1.1,21,EDTA,11,0.310171072988,Bacteria:5;Animalia:3;Plantae:2;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.1#INHIBITORS,0.242663863199,Animalia:126;Bacteria:73;Archaea:45;Plantae:34;Fungi:18;Protozoa:3,285569;285579;285580;285621;285631;285654;655058;669027;688442;721395,10,Homo sapiens;Saimiri sciureus;Macaca mulatta;Sulfolobus solfataricus;Zea mays;Desulfovibrio gigas;Acetobacter pasteurianus;Fragaria x ananassa;Methylobacterium extorquens;Devosia riboflavina;Oenococcus oeni,0.0675072097892
ki:1.1.1.1:62,ki,"('1.1.1.1', '62')",1.1.1.1,62,"1,10-phenanthroline",10,0.299315241619,Animalia:6;Bacteria:3;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.1#INHIBITORS,0.242663863199,Animalia:126;Bacteria:73;Archaea:45;Plantae:34;Fungi:18;Protozoa:3,"285557;285569,285576;285579;285580;285600;285602;285623;285630;668532;688442",10,Ctenopharyngodon idella;Homo sapiens;Saimiri sciureus;Macaca mulatta;Oryctolagus cuniculus;Mesocricetus auratus;Zymomonas mobilis;Zea mays;Flavobacterium frigidimaris;Devosia riboflavina,0.0566513784197
ki:1.1.1.205:570,ki,"('1.1.1.205', '570')",1.1.1.205,570,Mycophenolic acid,12,0.316250343818,Bacteria:5;Animalia:3;Fungi:3;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.205#INHIBITORS,0.196481081695,Animalia:273;Bacteria:117;Protozoa:28;Fungi:10;Plantae:8,"347914;347940;347952;347955;347959,701583;669310;701583;703193;705494;710737;724347",11,Mus musculus;Rattus norvegicus;Homo sapiens;Borrelia burgdorferi;Candida albicans;Cryptosporidium parvum;Saccharomyces cerevisiae;Streptococcus pyogenes;Staphylococcus aureus;Escherichia coli;Cryptococcus neoformans;Bacillus anthracis,0.119769262123
ki:1.1.1.3:250,ki,"('1.1.1.3', '250')",1.1.1.3,250,L-threonine,13,0.286246971002,Plantae:8;Bacteria:4;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.3#INHIBITORS,0.361306626839,Plantae:21;Fungi:16;Bacteria:14,"246382;246384,246385,246386;246387,246398;246388;246393;246394;246395;246399;246403;642340;712490",11,Hordeum vulgare;Pisum sativum;Zea mays;Ricinus communis;Triticum aestivum;Thermus thermophilus;Corynebacterium glutamicum;Spinacia oleracea;Escherichia coli;Saccharomyces cerevisiae;Serratia marcescens;Arabidopsis thaliana;Glycine max,-0.0750596558365
ki:1.1.1.37:57,ki,"('1.1.1.37', '57')",1.1.1.37,57,oxaloacetate,19,0.296919520109,Bacteria:7;Animalia:5;Plantae:3;Fungi:2;Archaea:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.37#INHIBITORS,0.254972050492,Animalia:77;Bacteria:69;Archaea:18;Plantae:17;Fungi:5,"286626,286627;286626,286630,286637,286638,286640,286651,286660,286664,286665;286627;286630,286640;286631;286640,286660;286652;286660;286664;286665;286669;656923;657090;667749;689325;700338;721445;723141;723482",19,Drosophila virilis;Physarum polycephalum;Acinetobacter lwoffii;Comamonas testosteroni;Anthocidaris crassispina;Sulfolobus acidocaldarius;Thermus thermophilus;Coccochloris peniocystis;Rattus norvegicus;Sus scrofa;Syntrophobacter fumaroxidans;Mesembryanthemum crystallinum;Aptenia cordifolia;Vulcanithermus mediatlanticus;Clonorchis sinensis;Phytophthora infestans;Archaeoglobus fulgidus;Streptomyces avermitilis;Zea mays,0.0419474696172
ki:1.1.1.44:5,ki,"('1.1.1.44', '5')",1.1.1.44,5,2 NADPH,12,0.285927097357,Animalia:5;Bacteria:5;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.44#INHIBITORS,0.238866326257,Animalia:112;Bacteria:39;Plantae:18;Fungi:5,"286827,286850,286882,286892;286837;286850;286851,286882;286851,286882,286904;286887,286901;286888;286889;286891;286904;667652",11,Homo sapiens;Sus scrofa;Geobacillus stearothermophilus;Methylobacillus flagellatus;Arthrobacter globiformis;Catharanthus roseus;Rattus norvegicus;Dicentrarchus labrax;Candida boidinii;Corynebacterium glutamicum;Escherichia coli;Ovis aries,0.0470607710995
ki:1.1.1.49:5,ki,"('1.1.1.49', '5')",1.1.1.49,5,2 NADPH,15,0.327381458826,Animalia:6;Plantae:4;Bacteria:3;Fungi:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.49#INHIBITORS,0.296223749253,Animalia:67;Bacteria:40;Fungi:16;Plantae:13,286985;286987;286998;287008;287010;287015;287016;287017;655612;655712;655736;657133;701015;722244,14,Pseudomonas fluorescens;Candida boidinii;Pisum sativum;Cryptococcus neoformans;Rattus norvegicus;Mus musculus;Homo sapiens;Sus scrofa;Thermotoga maritima;Meleagris gallopavo;Canis lupus familiaris;Hordeum vulgare;Arabidopsis thaliana;Nicotiana tabacum;Escherichia coli,0.0311577095732
ki:1.10.2.2:1042,ki,"('1.10.2.2', '1042')",1.10.2.2,1042,antimycin A,12,0.299712328228,Bacteria:6;Animalia:3;Plantae:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.10.2.2#INHIBITORS,0.296646193566,Animalia:57;Bacteria:40;Fungi:17;Plantae:9,"395300,439946,439963,439965,439979,440010,724452,725396;395300,439963;395300,439963,439979,724452;439946,440010;439947;439982;658674;674665;695915;724452",10,Bos taurus;Anabaena variabilis;Helianthus tuberosus;Rhodospirillum rubrum;Mus musculus;Saccharomyces cerevisiae;Roseobacter denitrificans;Gallus gallus;Paracoccus denitrificans;Rhodobacter capsulatus;Spinacia oleracea;Rhodobacter sphaeroides,0.00306613466194
ki:1.10.2.2:1448,ki,"('1.10.2.2', '1448')",1.10.2.2,1448,Myxothiazol,10,0.305151816138,Bacteria:5;Animalia:2;Plantae:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.10.2.2#INHIBITORS,0.296646193566,Animalia:57;Bacteria:40;Fungi:17;Plantae:9,"395300,439976,439995,440010,440015,658194,724452;395300,439995;395300,439995,440005,440025,440027,724452;439982;439995,440015;440005,440025;440007;440007,440010,440015;659170;695915,697702",10,Helianthus tuberosus;Spinacia oleracea;Rhodopseudomonas palustris;Paracoccus denitrificans;Rhodospirillum rubrum;Homo sapiens;Saccharomyces cerevisiae;Roseobacter denitrificans;Bos taurus;Rhodobacter sphaeroides,0.00850562257179
